iter	RMSE
0	66211.92741
1	63969.97702
2	61812.88133
3	59735.01339
4	57740.54933
5	55878.78705
6	54104.41251
7	52450.7634
8	50896.67617
9	49446.80134
10	47979.24042
11	46612.61622
12	45410.59749
13	44134.08547
14	43004.32207
15	41907.13342
16	40861.70993
17	39865.00768
18	38900.43305
19	37960.02222
20	37150.42975
21	36313.35273
22	35436.66988
23	34653.24098
24	33954.28865
25	33131.95233
26	32402.7927
27	31641.73293
28	30957.85971
29	30328.77921
30	29772.39241
31	29158.70119
32	28604.38987
33	28099.79492
34	27565.25154
35	27102.70324
36	26692.71913
37	26300.1382
38	25892.32321
39	25493.25592
40	25133.52313
41	24740.51047
42	24409.65811
43	24071.20006
44	23739.98116
45	23443.45911
46	23091.49595
47	22806.56253
48	22548.37739
49	22283.0827
50	22034.10907
51	21777.34709
52	21525.93473
53	21328.27378
54	21134.15651
55	20945.64202
56	20735.28683
57	20551.01217
58	20348.52226
59	20174.05825
60	20001.14392
61	19831.30696
62	19652.74019
63	19529.05809
64	19376.02169
65	19226.6407
66	19088.10863
67	18976.58487
68	18852.85981
69	18732.57464
70	18604.77662
71	18472.4117
72	18402.69345
73	18286.88367
74	18175.57373
75	18069.34771
76	17976.95634
77	17892.22279
78	17824.23331
79	17754.7693
80	17702.01656
81	17637.44477
82	17619.76091
83	17558.28963
84	17491.78212
85	17421.44108
86	17354.67429
87	17255.71406
88	17181.38939
89	17118.5601
90	17059.82466
91	16989.13965
92	16925.46135
93	16860.40277
94	16827.61883
95	16779.86735
96	16731.89344
97	16678.28615
98	16640.72759
99	16590.08367
100	16534.95931
101	16477.38807
102	16446.08162
103	16345.58768
104	16304.6614
105	16259.19477
106	16214.31966
107	16147.26873
108	16083.25862
109	16007.01277
110	15940.00218
111	15881.86057
112	15810.95477
113	15751.20279
114	15698.72216
115	15654.48075
116	15593.12039
117	15552.31636
118	15497.42108
119	15476.81846
120	15459.07736
121	15417.48561
122	15388.44099
123	15365.52522
124	15322.89058
125	15304.34931
126	15254.66492
127	15225.23116
128	15175.03324
129	15132.2545
130	15122.27978
131	15081.28977
132	15036.98508
133	15019.15824
134	14998.17285
135	14947.29834
136	14921.58897
137	14904.53675
138	14872.72671
139	14828.72366
140	14797.04282
141	14758.93371
142	14720.42714
143	14690.79409
144	14668.75437
145	14664.02788
146	14624.61592
147	14601.43878
148	14563.07481
149	14542.52484
150	14505.99497
151	14485.81991
152	14462.9111
153	14419.77161
154	14394.92385
155	14358.40899
156	14325.57964
157	14291.16188
158	14254.22327
159	14214.17523
160	14187.39588
161	14154.40195
162	14125.1035
163	14099.03276
164	14075.41944
165	14042.77969
166	14020.56975
167	14002.96809
168	13960.41063
169	13897.92454
170	13878.36307
171	13848.16606
172	13824.55532
173	13804.09399
174	13777.45622
175	13756.77803
176	13742.11322
177	13703.99355
178	13683.66491
179	13627.37327
180	13583.48997
181	13565.85541
182	13547.78977
183	13508.24015
184	13496.04878
185	13477.3975
186	13446.70567
187	13432.64718
188	13399.45726
189	13386.2742
190	13352.27133
191	13332.85246
192	13306.73115
193	13250.93712
194	13222.77692
195	13204.88661
196	13170.28036
197	13135.07332
198	13112.57204
199	13088.12857
200	13073.14225
201	13055.27083
202	13040.9136
203	13020.75557
204	13002.98179
205	12959.55421
206	12931.31094
207	12899.32837
208	12881.23704
209	12861.80432
210	12833.69023
211	12813.86983
212	12790.58417
213	12782.01238
214	12773.84163
215	12750.13166
216	12728.89794
217	12713.56682
218	12709.23065
219	12680.61939
220	12660.74702
221	12654.0333
222	12643.6856
223	12636.51717
224	12618.11593
225	12588.67049
226	12569.06705
227	12533.81431
228	12516.29818
229	12490.30309
230	12470.18626
231	12446.88369
232	12422.14241
233	12387.77671
234	12372.66158
235	12341.44736
236	12327.25497
237	12315.30492
238	12290.3067
239	12284.64977
240	12263.4406
241	12241.01142
242	12219.82069
243	12210.37402
244	12208.01582
245	12204.24936
246	12199.33077
247	12172.1843
248	12159.38752
249	12137.37589
250	12129.79013
251	12108.51045
252	12101.29544
253	12072.11858
254	12058.6214
255	12044.17141
256	12028.22218
257	12010.35524
258	11984.67251
259	11964.4507
260	11940.00085
261	11918.34962
262	11915.786
263	11892.51009
264	11887.98248
265	11886.19791
266	11868.05242
267	11855.8681
268	11838.01844
269	11822.38019
270	11806.1594
271	11786.67512
272	11763.78922
273	11751.19183
274	11747.17022
275	11732.05946
276	11731.20059
277	11718.17107
278	11695.89027
279	11679.04786
280	11677.44976
281	11656.41364
