iter	Passed	Remaining
0	87	43899
1	170	42346
2	286	47501
3	379	47000
4	481	47639
5	599	49394
6	720	50732
7	832	51221
8	928	50666
9	1003	49171
10	1083	48152
11	1175	47787
12	1290	48336
13	1405	48799
14	1522	49223
15	1604	48541
16	1724	48999
17	1831	49048
18	1935	49006
19	2047	49147
20	2172	49559
21	2299	49957
22	2373	49233
23	2441	48418
24	2516	47821
25	2637	48090
26	2753	48244
27	2875	48476
28	2990	48569
29	3106	48673
30	3235	48946
31	3366	49230
32	3475	49189
33	3558	48770
34	3642	48396
35	3726	48032
36	3809	47666
37	3893	47338
38	3985	47108
39	4068	46784
40	4146	46423
41	4239	46234
42	4376	46507
43	4464	46263
44	4535	45862
45	4627	45673
46	4735	45640
47	4817	45365
48	4932	45402
49	5051	45460
50	5171	45525
51	5292	45598
52	5388	45442
53	5459	45089
54	5573	45093
55	5695	45157
56	5800	45079
57	5907	45021
58	6015	44960
59	6134	44989
60	6255	45022
61	6376	45048
62	6484	44977
63	6607	45012
64	6729	45033
65	6837	44962
66	6955	44952
67	7075	44951
68	7199	44968
69	7320	44966
70	7438	44944
71	7559	44935
72	7685	44955
73	7796	44884
74	7903	44783
75	7999	44630
76	8117	44595
77	8236	44559
78	8347	44486
79	8454	44384
80	8563	44297
81	8648	44088
82	8734	43882
83	8842	43791
84	8960	43749
85	9051	43575
86	9141	43397
87	9224	43189
88	9320	43041
89	9437	42991
90	9534	42851
91	9656	42822
92	9771	42763
93	9880	42674
94	9984	42565
95	10100	42506
96	10222	42470
97	10342	42426
98	10444	42305
99	10548	42195
100	10670	42154
101	10791	42108
102	10916	42076
103	11041	42043
104	11161	41988
105	11281	41934
106	11391	41839
107	11513	41788
108	11632	41727
109	11753	41670
110	11871	41603
111	11970	41469
112	12079	41367
113	12325	41732
114	12466	41734
115	12592	41683
116	12660	41445
117	12783	41384
118	12866	41195
119	12947	41001
120	13027	40803
121	13094	40570
122	13185	40415
123	13287	40292
124	13362	40088
125	13445	39909
126	13531	39742
127	13617	39577
128	13693	39383
129	13798	39272
130	13926	39228
131	14000	39032
132	14086	38870
133	14160	38677
134	14237	38492
135	14311	38304
136	14385	38117
137	14469	37955
138	14534	37747
139	14606	37558
140	14686	37392
141	14771	37241
142	14882	37153
143	15018	37129
144	15109	36991
145	15223	36912
146	15314	36775
147	15417	36668
148	15509	36536
149	15591	36380
150	15644	36158
151	15699	35944
152	15775	35779
153	15823	35551
154	15871	35326
155	15948	35167
156	15997	34950
157	16064	34772
158	16175	34691
159	16301	34641
160	16429	34594
161	16570	34573
162	16669	34464
163	16792	34405
164	16916	34345
165	17039	34284
166	17164	34226
167	17288	34164
168	17363	34007
169	17446	33866
170	17554	33774
171	17652	33663
172	17732	33517
173	17835	33416
174	17959	33353
175	18081	33287
176	18200	33213
177	18285	33078
178	18371	32945
179	18493	32876
180	18607	32794
181	18728	32724
182	18829	32617
183	18931	32513
184	19052	32440
185	19178	32375
186	19273	32259
187	19386	32173
188	19508	32100
189	19638	32041
190	19760	31968
191	19878	31888
192	19992	31801
193	20107	31715
194	20235	31650
195	20363	31584
196	20489	31514
197	20611	31437
198	20718	31337
199	20821	31231
200	20922	31124
201	21005	30988
202	21085	30848
203	21197	30757
204	21283	30627
205	21367	30494
206	21446	30356
207	21534	30231
208	21614	30095
209	21702	29969
210	21824	29892
211	21940	29805
212	22050	29711
213	22167	29625
214	22291	29549
215	22401	29453
216	22530	29382
217	22639	29285
218	22730	29165
219	22818	29041
220	22917	28932
221	23044	28857
222	23174	28785
223	23295	28703
224	23415	28618
225	23518	28514
226	23641	28432
227	23771	28358
228	23889	28271
229	24003	28177
230	24115	28082
231	24240	28002
232	24362	27917
233	24490	27840
234	24621	27765
235	24748	27684
236	24874	27603
237	25001	27522
238	25105	27416
239	25190	27290
240	25297	27186
241	25403	27082
242	25533	27004
243	25647	26908
244	25740	26790
245	25847	26687
246	25956	26586
247	26068	26489
248	26181	26391
249	26299	26299
250	26423	26212
251	26570	26149
252	26675	26042
253	26755	25912
254	26869	25816
255	26974	25710
256	27061	25587
257	27191	25505
258	27290	25394
259	27414	25305
260	27513	25193
261	27636	25104
262	27752	25008
263	27839	24886
264	27946	24782
265	28056	24681
266	28171	24584
267	28290	24489
268	28407	24394
269	28513	24289
270	28605	24172
271	28720	24074
272	28838	23978
273	28959	23885
274	29074	23788
275	29170	23674
276	29291	23581
277	29405	23482
278	29516	23380
279	29619	23272
280	29700	23146
281	29777	23019
