,Trial,Score,Parameters,alpha,encoding,scaling
0,0,0.9410964585788589,"[('scaling_method', 'minmax'), ('encoding_method', 'ordinal'), ('alpha', 1.6999779739443475e-05)]",1.6999779739443475e-05,ordinal,minmax
1,1,0.9413211302238509,"[('scaling_method', 'standard'), ('encoding_method', 'ordinal'), ('alpha', 0.00037901740871573876)]",0.00037901740871573876,ordinal,standard
2,2,0.9478957812069528,"[('scaling_method', 'robust'), ('encoding_method', 'onehot'), ('drop', 'first'), ('alpha', 0.0009834045353742098)]",0.0009834045353742098,onehot,robust
3,3,0.9482369413368529,"[('scaling_method', 'minmax'), ('encoding_method', 'onehot'), ('drop', None), ('alpha', 2.5666965172816898e-05)]",2.5666965172816898e-05,onehot,minmax
4,4,0.9410948061762172,"[('scaling_method', 'maxabs'), ('encoding_method', 'ordinal'), ('alpha', 1.0571302084059589e-05)]",1.0571302084059589e-05,ordinal,maxabs
5,5,0.9504529057304483,"[('scaling_method', 'minmax'), ('encoding_method', 'onehot'), ('drop', 'first'), ('alpha', 0.0001805843978097374)]",0.0001805843978097374,onehot,minmax
6,6,0.9478855603121983,"[('scaling_method', 'robust'), ('encoding_method', 'onehot'), ('drop', 'first'), ('alpha', 0.0009855589617302543)]",0.0009855589617302543,onehot,robust
7,7,0.9407264490840564,"[('scaling_method', 'maxabs'), ('encoding_method', 'ordinal'), ('alpha', 6.478886532606612e-05)]",6.478886532606612e-05,ordinal,maxabs
8,8,0.9478334867697619,"[('scaling_method', 'minmax'), ('encoding_method', 'onehot'), ('drop', None), ('alpha', 2.0334104634118778e-05)]",2.0334104634118778e-05,onehot,minmax
9,9,0.9472192775906901,"[('scaling_method', 'maxabs'), ('encoding_method', 'onehot'), ('drop', None), ('alpha', 1.5865219618254177e-05)]",1.5865219618254177e-05,onehot,maxabs
10,10,0.9499707550376874,"[('scaling_method', 'standard'), ('encoding_method', 'onehot'), ('drop', 'first'), ('alpha', 0.00016871426960348698)]",0.00016871426960348698,onehot,standard
11,11,0.9499883195294488,"[('scaling_method', 'standard'), ('encoding_method', 'onehot'), ('drop', 'first'), ('alpha', 0.00018618022287801223)]",0.00018618022287801223,onehot,standard
12,12,0.9498823251556082,"[('scaling_method', 'standard'), ('encoding_method', 'onehot'), ('drop', 'first'), ('alpha', 0.00013628818329266117)]",0.00013628818329266117,onehot,standard
13,13,0.9499945032697173,"[('scaling_method', 'standard'), ('encoding_method', 'onehot'), ('drop', 'first'), ('alpha', 0.0003290802983260909)]",0.0003290802983260909,onehot,standard
14,14,0.9488203325381146,"[('scaling_method', 'minmax'), ('encoding_method', 'onehot'), ('drop', 'first'), ('alpha', 0.0004621217221409863)]",0.0004621217221409863,onehot,minmax
15,15,0.9487012371351049,"[('scaling_method', 'standard'), ('encoding_method', 'onehot'), ('drop', 'first'), ('alpha', 5.201737402388417e-05)]",5.201737402388417e-05,onehot,standard
