,Trial,Score,Parameters
0,0,0.2500573493458573,"[('scaling_method', 'standard'), ('encoding_method', 'ordinal'), ('n_estimators', 813), ('learning_rate', 0.004546685209408476), ('max_depth', 2), ('subsample', 0.5972054222840305), ('colsample_bytree', 0.8291820721150385), ('min_child_weight', 5)]"
1,1,0.9472145874972867,"[('scaling_method', 'maxabs'), ('encoding_method', 'ordinal'), ('n_estimators', 487), ('learning_rate', 0.07226798074248438), ('max_depth', 4), ('subsample', 0.39395707465472163), ('colsample_bytree', 0.7667781923927004), ('min_child_weight', 4)]"
2,2,0.9354251714458914,"[('scaling_method', 'robust'), ('encoding_method', 'ordinal'), ('n_estimators', 753), ('learning_rate', 0.011094121360774055), ('max_depth', 4), ('subsample', 0.95069650705626), ('colsample_bytree', 0.5885222277620357), ('min_child_weight', 3)]"
3,3,0.9403794167110612,"[('scaling_method', 'maxabs'), ('encoding_method', 'onehot'), ('drop', 'first'), ('n_estimators', 840), ('learning_rate', 0.018408191755019152), ('max_depth', 3), ('subsample', 0.9540745397031227), ('colsample_bytree', 0.9137879206046258), ('min_child_weight', 4)]"
4,4,0.9054821776511602,"[('scaling_method', 'minmax'), ('encoding_method', 'onehot'), ('drop', 'first'), ('n_estimators', 186), ('learning_rate', 0.03678202054471029), ('max_depth', 2), ('subsample', 0.6746007767704554), ('colsample_bytree', 0.665830441618052), ('min_child_weight', 1)]"
5,5,-6.060867623739479,"[('scaling_method', 'minmax'), ('encoding_method', 'ordinal'), ('n_estimators', 838), ('learning_rate', 0.0015928274431690416), ('max_depth', 3), ('subsample', 0.20512611455289542), ('colsample_bytree', 0.7206269945764264), ('min_child_weight', 5)]"
6,6,-2.0974598687538237,"[('scaling_method', 'maxabs'), ('encoding_method', 'ordinal'), ('n_estimators', 706), ('learning_rate', 0.003615403629046318), ('max_depth', 2), ('subsample', 0.4144361368646996), ('colsample_bytree', 0.9211939768284152), ('min_child_weight', 2)]"
7,7,0.9180630392898479,"[('scaling_method', 'robust'), ('encoding_method', 'onehot'), ('drop', 'first'), ('n_estimators', 655), ('learning_rate', 0.009522080834059091), ('max_depth', 4), ('subsample', 0.8483418800685055), ('colsample_bytree', 0.6533871891358874), ('min_child_weight', 5)]"
8,8,0.9357227688625487,"[('scaling_method', 'minmax'), ('encoding_method', 'ordinal'), ('n_estimators', 696), ('learning_rate', 0.01881311251389968), ('max_depth', 2), ('subsample', 0.3364568606601166), ('colsample_bytree', 0.8056270154536536), ('min_child_weight', 4)]"
9,9,-6.367874550691281,"[('scaling_method', 'maxabs'), ('encoding_method', 'onehot'), ('drop', 'first'), ('n_estimators', 518), ('learning_rate', 0.00217820562502637), ('max_depth', 2), ('subsample', 0.1349640594616977), ('colsample_bytree', 0.7495395322426446), ('min_child_weight', 3)]"
10,10,0.9478205225209724,"[('scaling_method', 'standard'), ('encoding_method', 'ordinal'), ('n_estimators', 409), ('learning_rate', 0.08838508483625439), ('max_depth', 4), ('subsample', 0.44296192166162296), ('colsample_bytree', 0.5174978985937634), ('min_child_weight', 2)]"
11,11,0.9450825734278081,"[('scaling_method', 'standard'), ('encoding_method', 'ordinal'), ('n_estimators', 414), ('learning_rate', 0.0907346109496425), ('max_depth', 4), ('subsample', 0.421095272575006), ('colsample_bytree', 0.511017621244548), ('min_child_weight', 2)]"
12,12,0.9451002602123104,"[('scaling_method', 'standard'), ('encoding_method', 'ordinal'), ('n_estimators', 310), ('learning_rate', 0.0979709800255525), ('max_depth', 4), ('subsample', 0.5117471874876108), ('colsample_bytree', 0.5035722450369466), ('min_child_weight', 1)]"
13,13,0.9510598943432467,"[('scaling_method', 'maxabs'), ('encoding_method', 'ordinal'), ('n_estimators', 983), ('learning_rate', 0.0521498094634368), ('max_depth', 3), ('subsample', 0.3154535736173646), ('colsample_bytree', 0.8336616462572736), ('min_child_weight', 2)]"
14,14,0.9494802898172123,"[('scaling_method', 'standard'), ('encoding_method', 'ordinal'), ('n_estimators', 940), ('learning_rate', 0.039609498801193216), ('max_depth', 3), ('subsample', 0.2712773625552963), ('colsample_bytree', 0.8559769264435235), ('min_child_weight', 2)]"
15,15,0.9504764168102844,"[('scaling_method', 'standard'), ('encoding_method', 'ordinal'), ('n_estimators', 1000), ('learning_rate', 0.03943079362860064), ('max_depth', 3), ('subsample', 0.2542628576633881), ('colsample_bytree', 0.9791589554949761), ('min_child_weight', 2)]"
16,16,0.9460145872780389,"[('scaling_method', 'maxabs'), ('encoding_method', 'ordinal'), ('n_estimators', 999), ('learning_rate', 0.04396286745545747), ('max_depth', 3), ('subsample', 0.11859538119932433), ('colsample_bytree', 0.9812875691995949), ('min_child_weight', 1)]"
17,17,0.9479722607002667,"[('scaling_method', 'robust'), ('encoding_method', 'ordinal'), ('n_estimators', 936), ('learning_rate', 0.022116093395734893), ('max_depth', 3), ('subsample', 0.27097921983830336), ('colsample_bytree', 0.9689948560463193), ('min_child_weight', 3)]"
18,18,0.9510317613983011,"[('scaling_method', 'maxabs'), ('encoding_method', 'onehot'), ('drop', None), ('n_estimators', 987), ('learning_rate', 0.05134391863727527), ('max_depth', 3), ('subsample', 0.6907510842954905), ('colsample_bytree', 0.8910211882951738), ('min_child_weight', 2)]"
19,19,0.9000618710499089,"[('scaling_method', 'maxabs'), ('encoding_method', 'onehot'), ('drop', None), ('n_estimators', 643), ('learning_rate', 0.009110937581439117), ('max_depth', 3), ('subsample', 0.7300117150951103), ('colsample_bytree', 0.8661660440090039), ('min_child_weight', 1)]"
20,20,0.949928779450833,"[('scaling_method', 'maxabs'), ('encoding_method', 'onehot'), ('drop', None), ('n_estimators', 902), ('learning_rate', 0.05741709886945328), ('max_depth', 3), ('subsample', 0.7560037500339547), ('colsample_bytree', 0.9108844267802395), ('min_child_weight', 3)]"
21,21,0.9493798264915815,"[('scaling_method', 'maxabs'), ('encoding_method', 'onehot'), ('drop', None), ('n_estimators', 1000), ('learning_rate', 0.02662368518585792), ('max_depth', 3), ('subsample', 0.5602577131673876), ('colsample_bytree', 0.9561462726139194), ('min_child_weight', 2)]"
22,22,0.946039191382976,"[('scaling_method', 'standard'), ('encoding_method', 'onehot'), ('drop', None), ('n_estimators', 886), ('learning_rate', 0.05721799574635512), ('max_depth', 3), ('subsample', 0.22809812183856004), ('colsample_bytree', 0.8960601580826336), ('min_child_weight', 2)]"
23,23,0.9489654235411127,"[('scaling_method', 'maxabs'), ('encoding_method', 'onehot'), ('drop', None), ('n_estimators', 780), ('learning_rate', 0.03074676606337832), ('max_depth', 3), ('subsample', 0.6534164706552442), ('colsample_bytree', 0.8049253758780615), ('min_child_weight', 2)]"
24,24,0.9440058082639469,"[('scaling_method', 'maxabs'), ('encoding_method', 'ordinal'), ('n_estimators', 1000), ('learning_rate', 0.01402370170650893), ('max_depth', 3), ('subsample', 0.32063716007145165), ('colsample_bytree', 0.9510115746417895), ('min_child_weight', 3)]"
