,Trial,Score,Algorithm,Parameters
0,0,-0.029441307066881618,lasso,"[('scaling_method', 'standard'), ('encoding_method', 'onehot'), ('drop', 'first'), ('algorithm', 'lasso'), ('alpha', 1.596299953148117)]"
1,1,0.8393679950758675,rf,"[('scaling_method', 'maxabs'), ('encoding_method', 'ordinal'), ('algorithm', 'rf'), ('bootstrap', False), ('n_estimators', 246), ('max_depth', 64), ('min_sample_split', 3), ('min_sample_leaf', 10)]"
2,2,0.8641449377737869,ada,"[('scaling_method', 'standard'), ('encoding_method', 'ordinal'), ('algorithm', 'ada'), ('learning_rate', 0.17448906672786785), ('loss', 'linear'), ('n_estimators', 279)]"
3,3,0.8946663651310004,rf,"[('scaling_method', 'maxabs'), ('encoding_method', 'ordinal'), ('algorithm', 'rf'), ('bootstrap', True), ('n_estimators', 98), ('max_depth', 19), ('min_sample_split', 3), ('min_sample_leaf', 7)]"
4,4,0.8549804963350909,ada,"[('scaling_method', 'standard'), ('encoding_method', 'onehot'), ('drop', 'first'), ('algorithm', 'ada'), ('learning_rate', 0.04631870085995089), ('loss', 'exponential'), ('n_estimators', 606)]"
5,5,0.8881874953150927,xgb,"[('scaling_method', 'robust'), ('encoding_method', 'onehot'), ('drop', 'first'), ('algorithm', 'xgb'), ('n_estimators', 326), ('learning_rate', 0.01640850457629452), ('max_depth', 6), ('subsample', 0.9420185743653489), ('colsample_bytree', 0.7031024498108345), ('min_child_weight', 13)]"
6,6,-6.654992489189699,xgb,"[('scaling_method', 'standard'), ('encoding_method', 'ordinal'), ('algorithm', 'xgb'), ('n_estimators', 129), ('learning_rate', 0.004098470983787435), ('max_depth', 7), ('subsample', 0.9012504032634416), ('colsample_bytree', 0.8634801259800144), ('min_child_weight', 13)]"
7,7,0.0735809627628207,gbr,"[('scaling_method', 'standard'), ('encoding_method', 'ordinal'), ('algorithm', 'gbr'), ('n_estimators', 935), ('learning_rate', 0.00011053256810369346), ('max_depth', 2), ('subsample', 0.9205826464728777), ('min_sample_split', 10), ('min_sample_leaf', 3)]"
8,8,0.9408378006661791,ridge,"[('scaling_method', 'minmax'), ('encoding_method', 'ordinal'), ('algorithm', 'ridge'), ('alpha', 0.012995670998157008)]"
9,9,0.9334970888614625,xgb,"[('scaling_method', 'minmax'), ('encoding_method', 'ordinal'), ('algorithm', 'xgb'), ('n_estimators', 504), ('learning_rate', 0.38609102336011014), ('max_depth', 4), ('subsample', 0.7720674692916107), ('colsample_bytree', 0.6449948679603827), ('min_child_weight', 19)]"
10,10,0.9458060353129094,ridge,"[('scaling_method', 'minmax'), ('encoding_method', 'onehot'), ('drop', None), ('algorithm', 'ridge'), ('alpha', 0.0001468389907212205)]"
11,11,0.9458056208126621,ridge,"[('scaling_method', 'minmax'), ('encoding_method', 'onehot'), ('drop', None), ('algorithm', 'ridge'), ('alpha', 0.00011035779400701059)]"
12,12,0.9458055169302406,ridge,"[('scaling_method', 'minmax'), ('encoding_method', 'onehot'), ('drop', None), ('algorithm', 'ridge'), ('alpha', 0.00010121663304673973)]"
13,13,0.9470588749996617,en,"[('scaling_method', 'minmax'), ('encoding_method', 'onehot'), ('drop', None), ('algorithm', 'en'), ('alpha', 0.00011010104040317402), ('l1_ratio', 0.0001455025676712381)]"
14,14,-0.025586122789539933,en,"[('scaling_method', 'minmax'), ('encoding_method', 'onehot'), ('drop', None), ('algorithm', 'en'), ('alpha', 199.93883658061745), ('l1_ratio', 7.950477271767913e-05)]"
15,15,0.9506146499925329,en,"[('scaling_method', 'robust'), ('encoding_method', 'onehot'), ('drop', None), ('algorithm', 'en'), ('alpha', 0.005798418815720318), ('l1_ratio', 0.03787907308950946)]"
16,16,0.9454934218066602,en,"[('scaling_method', 'robust'), ('encoding_method', 'onehot'), ('drop', None), ('algorithm', 'en'), ('alpha', 0.01549613842650819), ('l1_ratio', 0.1029104274828476)]"
17,17,0.949897721202668,en,"[('scaling_method', 'robust'), ('encoding_method', 'onehot'), ('drop', None), ('algorithm', 'en'), ('alpha', 0.005258496728628177), ('l1_ratio', 0.003778377776623307)]"
18,18,0.9494882570686602,en,"[('scaling_method', 'robust'), ('encoding_method', 'onehot'), ('drop', None), ('algorithm', 'en'), ('alpha', 0.016323134427685126), ('l1_ratio', 0.02422004623082698)]"
19,19,0.9192456360955411,en,"[('scaling_method', 'robust'), ('encoding_method', 'onehot'), ('drop', None), ('algorithm', 'en'), ('alpha', 0.3362954482428801), ('l1_ratio', 0.0022756750504489658)]"
20,20,0.9420714241747068,lasso,"[('scaling_method', 'robust'), ('encoding_method', 'onehot'), ('drop', None), ('algorithm', 'lasso'), ('alpha', 0.002900118815171004)]"
21,21,0.9506084694145299,en,"[('scaling_method', 'robust'), ('encoding_method', 'onehot'), ('drop', None), ('algorithm', 'en'), ('alpha', 0.005876606135668252), ('l1_ratio', 0.047101066054478176)]"
22,22,0.9437030111741564,en,"[('scaling_method', 'robust'), ('encoding_method', 'onehot'), ('drop', None), ('algorithm', 'en'), ('alpha', 0.0020925680898552304), ('l1_ratio', 0.9704431454327804)]"
23,23,0.9298687541274153,en,"[('scaling_method', 'robust'), ('encoding_method', 'onehot'), ('drop', None), ('algorithm', 'en'), ('alpha', 0.20896925467965963), ('l1_ratio', 0.007314608383401472)]"
24,24,0.4228627970871483,gbr,"[('scaling_method', 'robust'), ('encoding_method', 'onehot'), ('drop', None), ('algorithm', 'gbr'), ('n_estimators', 992), ('learning_rate', 0.0006270551304483375), ('max_depth', 2), ('subsample', 0.5032672951215768), ('min_sample_split', 7), ('min_sample_leaf', 2)]"
25,25,0.9502918463775044,en,"[('scaling_method', 'robust'), ('encoding_method', 'onehot'), ('drop', 'first'), ('algorithm', 'en'), ('alpha', 0.0015256062109749709), ('l1_ratio', 0.0754093089886176)]"
26,26,0.9504703761860972,en,"[('scaling_method', 'robust'), ('encoding_method', 'onehot'), ('drop', 'first'), ('algorithm', 'en'), ('alpha', 0.0010038574827459451), ('l1_ratio', 0.21302491402558216)]"
27,27,0.1900980953448697,en,"[('scaling_method', 'maxabs'), ('encoding_method', 'onehot'), ('drop', 'first'), ('algorithm', 'en'), ('alpha', 0.15243420261017115), ('l1_ratio', 0.31606174092095934)]"
28,28,0.9489120573469423,en,"[('scaling_method', 'robust'), ('encoding_method', 'onehot'), ('drop', 'first'), ('algorithm', 'en'), ('alpha', 0.0008608564486929174), ('l1_ratio', 0.02884428444223919)]"
29,29,-0.029441307066881618,lasso,"[('scaling_method', 'robust'), ('encoding_method', 'onehot'), ('drop', 'first'), ('algorithm', 'lasso'), ('alpha', 7.97405293443956)]"
