,PID,GrLivArea,SalePrice,MSSubClass,MSZoning,LotFrontage,LotArea,Street,Alley,LotShape,LandContour,Utilities,LotConfig,LandSlope,Neighborhood,Condition1,Condition2,BldgType,HouseStyle,OverallQual,OverallCond,YearBuilt,YearRemodAdd,RoofStyle,RoofMatl,Exterior1st,Exterior2nd,MasVnrType,MasVnrArea,ExterQual,ExterCond,Foundation,BsmtQual,BsmtCond,BsmtExposure,BsmtFinType1,BsmtFinSF1,BsmtFinType2,BsmtFinSF2,BsmtUnfSF,TotalBsmtSF,Heating,HeatingQC,CentralAir,Electrical,1stFlrSF,2ndFlrSF,LowQualFinSF,BsmtFullBath,BsmtHalfBath,FullBath,HalfBath,BedroomAbvGr,KitchenAbvGr,KitchenQual,TotRmsAbvGrd,Functional,Fireplaces,FireplaceQu,GarageType,GarageYN,GarageFinish,GarageCars,GarageArea,GarageQual,GarageCond,PavedDrive,WoodDeckSF,OpenPorchSF,EnclosedPorch,3SsnPorch,ScreenPorch,PoolYN,PoolQC,Fence,MoSold,YrSold,SaleType,SaleCondition,Bathrooms
0,909176150,856,126000,30,RL,62.47292557548702,7890,Pave,0.0,1,4,4,Corner,3,SWISU,Norm,Norm,1Fam,1Story,6,6,1939,1950,Gable,CompShg,Wd Sdng,Wd Sdng,NO,0.0,3,3,CBlock,3.0,3.0,1.0,3.0,238.0,1.0,0.0,618.0,856.0,GasA,3,Y,SBrkr,856,0,0,1.0,0.0,1,0,2,1,3,4,8,1,4.0,Detchd,yes,1.0,2.0,399.0,3.0,3.0,3,0,0,0,0,166,no,0.0,NO,3,2010,WD ,Normal,2.0
1,905476230,1049,139500,120,RL,42.0,4235,Pave,0.0,1,4,4,Inside,3,Edwards,Norm,Norm,TwnhsE,1Story,5,5,1984,1984,Gable,CompShg,HdBoard,HdBoard,BrkFace,149.0,4,3,CBlock,4.0,3.0,2.0,6.0,552.0,5.0,393.0,104.0,1049.0,GasA,3,Y,SBrkr,1049,0,0,1.0,0.0,2,0,2,1,4,5,8,0,0.0,Attchd,yes,3.0,1.0,266.0,3.0,3.0,3,0,105,0,0,0,no,0.0,NO,2,2009,WD ,Normal,3.0
2,911128020,1001,124900,30,C (all),60.0,6060,Pave,0.0,1,4,4,Inside,3,IDOTRR,Norm,Norm,1Fam,1Story,5,9,1930,2007,Hip,CompShg,MetalSd,MetalSd,NO,0.0,4,3,BrkTil,3.0,3.0,1.0,5.0,737.0,1.0,0.0,100.0,837.0,GasA,5,Y,SBrkr,1001,0,0,0.0,0.0,1,0,2,1,4,5,8,0,0.0,Detchd,yes,1.0,1.0,216.0,3.0,1.0,1,154,0,42,86,0,no,0.0,NO,11,2007,WD ,Normal,1.0
3,535377150,1039,114000,70,RL,80.0,8146,Pave,0.0,1,4,4,Corner,3,OldTown,Norm,Norm,1Fam,2Story,4,8,1900,2003,Gable,CompShg,MetalSd,MetalSd,NO,0.0,4,4,BrkTil,2.0,3.0,1.0,1.0,0.0,1.0,0.0,405.0,405.0,GasA,4,Y,SBrkr,717,322,0,0.0,0.0,1,0,2,1,3,6,8,0,0.0,Detchd,yes,1.0,1.0,281.0,3.0,3.0,1,0,0,168,0,111,no,0.0,NO,5,2009,WD ,Normal,1.0
4,534177230,1665,227000,60,RL,70.0,8400,Pave,0.0,1,4,4,Inside,3,NWAmes,Norm,Norm,1Fam,2Story,8,6,2001,2001,Gable,CompShg,VinylSd,VinylSd,NO,0.0,4,3,PConc,4.0,3.0,1.0,6.0,643.0,1.0,0.0,167.0,810.0,GasA,5,Y,SBrkr,810,855,0,1.0,0.0,2,1,3,1,4,6,8,0,0.0,Attchd,yes,3.0,2.0,528.0,3.0,3.0,3,0,45,0,0,0,no,0.0,NO,11,2009,WD ,Normal,3.5
5,908128060,1922,198500,85,RL,64.0,7301,Pave,0.0,1,4,4,Corner,3,Edwards,Norm,Norm,1Fam,SFoyer,7,5,2003,2003,Gable,CompShg,HdBoard,HdBoard,BrkFace,500.0,4,3,Slab,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,GasA,5,Y,SBrkr,495,1427,0,0.0,0.0,3,0,4,1,4,7,8,1,5.0,BuiltIn,yes,2.0,2.0,672.0,3.0,3.0,3,0,0,177,0,0,no,0.0,NO,7,2009,ConLD,Normal,3.0
6,902135020,936,93000,20,RM,60.0,6000,Pave,2.0,1,3,4,Inside,2,OldTown,Norm,Norm,2fmCon,1Story,4,4,1953,1953,Gable,CompShg,MetalSd,MetalSd,NO,0.0,2,3,CBlock,2.0,3.0,1.0,1.0,0.0,1.0,0.0,936.0,936.0,GasA,3,N,SBrkr,936,0,0,0.0,0.0,1,0,2,1,3,4,6,0,0.0,Detchd,yes,1.0,2.0,576.0,3.0,3.0,3,0,32,112,0,0,no,0.0,NO,2,2009,WD ,Normal,1.0
8,923426010,889,137500,20,RL,74.0,12395,Pave,0.0,1,4,4,Corner,3,Mitchel,Norm,Norm,1Fam,1Story,5,6,1984,1984,Gable,CompShg,HdBoard,Plywood,NO,0.0,3,3,CBlock,3.0,3.0,1.0,5.0,647.0,1.0,0.0,217.0,864.0,GasA,3,Y,SBrkr,889,0,0,0.0,0.0,1,0,3,1,3,6,8,0,0.0,Attchd,yes,1.0,2.0,484.0,3.0,3.0,3,0,0,0,0,0,no,0.0,NO,4,2008,WD ,Normal,1.0
9,908186050,1072,140000,180,RM,35.0,3675,Pave,0.0,1,4,4,Inside,3,Edwards,Norm,Norm,TwnhsE,SFoyer,6,5,2005,2005,Gable,CompShg,VinylSd,VinylSd,Stone,76.0,3,3,PConc,4.0,3.0,4.0,6.0,467.0,1.0,0.0,80.0,547.0,GasA,5,Y,SBrkr,1072,0,0,1.0,0.0,1,0,2,1,4,5,8,0,0.0,Basment,yes,3.0,2.0,525.0,3.0,3.0,3,0,44,0,0,0,no,0.0,NO,5,2007,WD ,Normal,2.0
10,528186170,1342,219500,120,RL,48.0,6240,Pave,0.0,1,4,4,Inside,3,NridgHt,Norm,Norm,TwnhsE,1Story,8,5,2006,2007,Hip,CompShg,MetalSd,MetalSd,BrkFace,196.0,4,3,PConc,4.0,3.0,1.0,6.0,24.0,1.0,0.0,1318.0,1342.0,GasA,5,Y,SBrkr,1342,0,0,0.0,0.0,2,0,2,1,4,6,8,1,4.0,Attchd,yes,2.0,2.0,550.0,3.0,3.0,3,0,35,0,0,0,no,0.0,NO,2,2008,WD ,Normal,2.0
11,923426070,1274,136000,60,RL,63.0,10475,Pave,0.0,1,4,4,Inside,3,Mitchel,Norm,Norm,1Fam,2Story,5,5,1991,1991,Gable,CompShg,HdBoard,HdBoard,NO,0.0,3,3,PConc,4.0,3.0,1.0,3.0,458.0,1.0,0.0,166.0,624.0,GasA,4,Y,SBrkr,624,650,0,0.0,0.0,1,1,3,1,3,6,8,0,0.0,Detchd,yes,1.0,2.0,576.0,3.0,3.0,3,22,0,0,0,0,no,0.0,GdWo,3,2010,WD ,Normal,1.5
12,902204080,861,80000,30,RM,62.0,7404,Pave,0.0,1,4,4,Corner,3,OldTown,Norm,Norm,1Fam,1Story,4,6,1920,1950,Gable,CompShg,MetalSd,MetalSd,NO,0.0,3,3,BrkTil,2.0,3.0,1.0,1.0,0.0,1.0,0.0,861.0,861.0,GasA,3,Y,SBrkr,861,0,0,0.0,0.0,1,0,2,1,3,5,8,0,0.0,Detchd,yes,1.0,2.0,288.0,3.0,3.0,1,0,0,128,0,0,no,0.0,NO,11,2009,Oth,Normal,1.0
13,535105100,1394,159000,20,RL,75.22088630762062,9500,Pave,0.0,2,4,4,Inside,3,NAmes,Norm,Norm,1Fam,1Story,6,5,1963,1963,Gable,CompShg,Plywood,Plywood,BrkFace,247.0,3,3,CBlock,4.0,3.0,1.0,4.0,609.0,1.0,0.0,785.0,1394.0,GasA,4,Y,SBrkr,1394,0,0,1.0,0.0,1,1,3,1,3,6,8,2,4.0,Attchd,yes,2.0,2.0,514.0,3.0,3.0,3,0,76,0,0,185,no,0.0,NO,7,2009,WD ,Normal,2.5
14,907405020,1536,214000,20,RL,70.0,9135,Pave,0.0,1,4,4,Inside,3,CollgCr,Norm,Norm,1Fam,1Story,7,5,2002,2003,Gable,CompShg,VinylSd,VinylSd,BrkFace,113.0,4,3,PConc,4.0,3.0,3.0,6.0,810.0,1.0,0.0,726.0,1536.0,GasA,5,Y,SBrkr,1536,0,0,1.0,0.0,2,0,3,1,4,7,8,0,0.0,Attchd,yes,2.0,2.0,532.0,3.0,3.0,3,192,74,0,0,0,no,0.0,NO,12,2008,WD ,Normal,3.0
15,531382110,1680,163000,60,RL,50.0,8480,Pave,0.0,2,4,4,Inside,3,SawyerW,Norm,Norm,1Fam,2Story,6,5,1993,1994,Gable,CompShg,HdBoard,HdBoard,BrkFace,120.0,4,3,PConc,4.0,3.0,1.0,6.0,602.0,1.0,0.0,284.0,886.0,GasA,5,Y,SBrkr,886,794,0,0.0,1.0,2,1,3,1,4,7,8,0,0.0,Attchd,yes,2.0,2.0,474.0,3.0,3.0,3,144,96,0,0,0,no,0.0,NO,10,2008,WD ,Normal,3.0
17,909101060,864,67000,30,RL,45.0,8248,Pave,1.0,1,4,4,Inside,3,Edwards,Norm,Norm,1Fam,1Story,3,3,1914,1950,Gable,CompShg,Stucco,Stucco,NO,0.0,3,3,BrkTil,3.0,3.0,1.0,4.0,41.0,1.0,0.0,823.0,864.0,GasA,3,N,FuseF,864,0,0,1.0,0.0,1,0,2,1,3,5,8,0,0.0,NO,no,0.0,0.0,0.0,0.0,0.0,1,0,0,100,0,0,no,0.0,NO,9,2008,WD ,Normal,2.0
18,534152050,1610,205000,20,RL,83.954427107337,10603,Pave,0.0,2,4,4,Inside,3,NWAmes,Norm,Norm,1Fam,1Story,6,7,1977,2001,Gable,CompShg,Plywood,Plywood,BrkFace,28.0,3,3,PConc,3.0,3.0,2.0,5.0,1200.0,1.0,0.0,410.0,1610.0,GasA,4,Y,SBrkr,1610,0,0,1.0,0.0,2,0,3,1,4,6,8,2,3.0,Attchd,yes,2.0,2.0,480.0,3.0,3.0,3,168,68,0,0,0,no,0.0,NO,2,2010,WD ,Normal,3.0
19,923252075,1091,131250,80,RL,62.0,7706,Pave,0.0,1,4,4,Inside,3,Mitchel,Norm,Norm,1Fam,SLvl,6,5,1993,1996,Gable,CompShg,HdBoard,HdBoard,NO,0.0,3,4,CBlock,4.0,3.0,3.0,3.0,114.0,6.0,270.0,0.0,384.0,GasA,5,Y,SBrkr,1091,0,0,0.0,1.0,1,0,2,1,3,5,8,0,0.0,Attchd,yes,3.0,1.0,429.0,3.0,3.0,3,280,0,0,0,0,no,0.0,NO,8,2009,WD ,Normal,1.5
20,531376060,1486,181000,20,RL,65.0,7441,Pave,0.0,2,4,4,Inside,3,SawyerW,Norm,Norm,1Fam,1Story,7,5,2006,2006,Gable,CompShg,VinylSd,VinylSd,BrkFace,170.0,4,3,PConc,4.0,3.0,1.0,1.0,0.0,1.0,0.0,1461.0,1461.0,GasA,5,Y,SBrkr,1486,0,0,0.0,0.0,2,0,3,1,4,7,8,0,0.0,Attchd,yes,2.0,2.0,566.0,3.0,3.0,3,0,32,0,0,0,no,0.0,NO,6,2007,WD ,Normal,2.0
22,923228080,1092,98000,160,RM,21.0,1477,Pave,0.0,1,4,4,Inside,3,MeadowV,Norm,Norm,Twnhs,2Story,6,9,1970,2007,Gable,CompShg,CemntBd,CmentBd,NO,0.0,3,4,CBlock,3.0,3.0,1.0,6.0,358.0,1.0,0.0,188.0,546.0,GasA,5,Y,SBrkr,546,546,0,0.0,0.0,2,1,3,1,3,6,8,0,0.0,NO,no,0.0,0.0,0.0,0.0,0.0,3,187,0,0,0,0,no,0.0,NO,3,2008,WD ,Normal,2.5
23,902326030,2640,265979,70,RM,65.0,11700,Pave,2.0,2,4,4,Corner,3,OldTown,Norm,Norm,1Fam,2Story,7,7,1880,2003,Mansard,CompShg,Stucco,Stucco,NO,0.0,4,3,Stone,3.0,2.0,1.0,1.0,0.0,1.0,0.0,1240.0,1240.0,GasW,3,N,SBrkr,1320,1320,0,0.0,0.0,1,1,4,1,4,8,8,1,4.0,Detchd,yes,1.0,4.0,864.0,3.0,3.0,1,181,0,386,0,0,no,0.0,NO,5,2009,WD ,Normal,1.5
24,527451330,1092,105500,160,RM,21.0,1680,Pave,0.0,1,4,4,Inside,3,BrDale,Norm,Norm,Twnhs,2Story,5,5,1971,1971,Gable,CompShg,HdBoard,HdBoard,BrkFace,492.0,3,3,CBlock,3.0,3.0,1.0,3.0,300.0,1.0,0.0,225.0,525.0,GasA,3,Y,SBrkr,525,567,0,0.0,0.0,1,1,3,1,3,6,8,0,0.0,Detchd,yes,1.0,1.0,320.0,3.0,3.0,3,0,0,0,0,0,no,0.0,NO,3,2010,WD ,Normal,1.5
26,916386140,1466,201000,20,RL,73.0,8925,Pave,0.0,2,2,4,Inside,3,Timber,Norm,Norm,1Fam,1Story,8,5,2007,2007,Gable,CompShg,VinylSd,VinylSd,NO,0.0,4,3,PConc,4.0,3.0,3.0,6.0,16.0,1.0,0.0,1450.0,1466.0,GasA,5,Y,SBrkr,1466,0,0,0.0,0.0,2,0,3,1,4,7,8,0,0.0,Attchd,yes,3.0,3.0,610.0,3.0,3.0,3,100,18,0,0,0,no,0.0,NO,7,2009,WD ,Normal,2.0
27,533221090,1573,177500,160,FV,16.762380664550825,2117,Pave,0.0,1,4,4,Inside,3,Somerst,Norm,Norm,Twnhs,2Story,6,5,2000,2000,Gable,CompShg,MetalSd,MetalSd,BrkFace,216.0,4,3,PConc,4.0,3.0,1.0,6.0,378.0,1.0,0.0,378.0,756.0,GasA,5,Y,SBrkr,769,804,0,0.0,0.0,2,1,3,1,4,5,8,0,0.0,Detchd,yes,1.0,2.0,440.0,3.0,3.0,3,0,32,0,0,0,no,0.0,NO,6,2010,WD ,Normal,2.5
