,Trial,Score,Parameters
0,0,0.7576802333662138,"[('scaling_method', 'maxabs'), ('learning_rate', 0.0012834671890213096), ('loss', 'exponential'), ('n_estimators', 574)]"
1,1,0.877585271183217,"[('scaling_method', 'robust'), ('learning_rate', 0.9023810892585588), ('loss', 'linear'), ('n_estimators', 846)]"
2,2,0.8571958861413098,"[('scaling_method', 'standard'), ('learning_rate', 0.3301939662166686), ('loss', 'square'), ('n_estimators', 103)]"
3,3,0.8005036506616587,"[('scaling_method', 'minmax'), ('learning_rate', 0.004022998111875487), ('loss', 'linear'), ('n_estimators', 972)]"
4,4,0.8421977901199247,"[('scaling_method', 'minmax'), ('learning_rate', 0.03395237740233683), ('loss', 'exponential'), ('n_estimators', 500)]"
5,5,0.8607690481859207,"[('scaling_method', 'standard'), ('learning_rate', 0.048433426979763765), ('loss', 'linear'), ('n_estimators', 818)]"
6,6,0.7810328512347601,"[('scaling_method', 'standard'), ('learning_rate', 0.004342952330068762), ('loss', 'square'), ('n_estimators', 454)]"
7,7,0.7574223711309103,"[('scaling_method', 'robust'), ('learning_rate', 0.0014519739087924522), ('loss', 'exponential'), ('n_estimators', 499)]"
8,8,0.8531660700326075,"[('scaling_method', 'standard'), ('learning_rate', 0.028630279140514334), ('loss', 'linear'), ('n_estimators', 906)]"
9,9,0.7553593172862918,"[('scaling_method', 'standard'), ('learning_rate', 0.021086905049470094), ('loss', 'linear'), ('n_estimators', 41)]"
10,10,0.8770971660944035,"[('scaling_method', 'robust'), ('learning_rate', 0.8457913759845618), ('loss', 'linear'), ('n_estimators', 728)]"
11,11,0.8769531266143138,"[('scaling_method', 'robust'), ('learning_rate', 0.7646263390539458), ('loss', 'linear'), ('n_estimators', 762)]"
12,12,0.8712264634474728,"[('scaling_method', 'robust'), ('learning_rate', 0.17636364463201035), ('loss', 'linear'), ('n_estimators', 660)]"
13,13,0.742329890421869,"[('scaling_method', 'robust'), ('learning_rate', 0.00013598870674816544), ('loss', 'linear'), ('n_estimators', 348)]"
14,14,0.8775872292381324,"[('scaling_method', 'robust'), ('learning_rate', 0.8499808880495606), ('loss', 'linear'), ('n_estimators', 709)]"
15,15,0.8578460244804145,"[('scaling_method', 'maxabs'), ('learning_rate', 0.10077605416956738), ('loss', 'square'), ('n_estimators', 327)]"
16,16,0.8728062197453392,"[('scaling_method', 'robust'), ('learning_rate', 0.2031292585978009), ('loss', 'linear'), ('n_estimators', 874)]"
17,17,0.8781365344498185,"[('scaling_method', 'robust'), ('learning_rate', 0.9565216175919958), ('loss', 'linear'), ('n_estimators', 652)]"
18,18,0.8680514639523338,"[('scaling_method', 'robust'), ('learning_rate', 0.09020896126328906), ('loss', 'exponential'), ('n_estimators', 647)]"
19,19,0.7506803634070505,"[('scaling_method', 'maxabs'), ('learning_rate', 0.00011364501230745815), ('loss', 'square'), ('n_estimators', 355)]"
20,20,0.8726138842264698,"[('scaling_method', 'minmax'), ('learning_rate', 0.32085936144477895), ('loss', 'linear'), ('n_estimators', 617)]"
21,21,0.8769355398884606,"[('scaling_method', 'robust'), ('learning_rate', 0.7350611904819673), ('loss', 'linear'), ('n_estimators', 752)]"
22,22,0.8775495200035228,"[('scaling_method', 'robust'), ('learning_rate', 0.9582580930605712), ('loss', 'linear'), ('n_estimators', 848)]"
