,Trial,Score,Parameters
0,0,0.9485101642192975,"[('scaling_method', 'robust'), ('encoding_method', 'onehot'), ('alpha', 0.00017960961266990318), ('l1_ratio', 0.20630385615556132)]"
1,1,0.941132293166444,"[('scaling_method', 'minmax'), ('encoding_method', 'ordinal'), ('alpha', 1.988548578154849e-05), ('l1_ratio', 0.6735152830513852)]"
2,2,0.9485553347389294,"[('scaling_method', 'robust'), ('encoding_method', 'onehot'), ('alpha', 7.16599882217109e-05), ('l1_ratio', 0.5947866198130319)]"
3,3,0.9463069109742495,"[('scaling_method', 'standard'), ('encoding_method', 'onehot'), ('alpha', 1.412904884316516e-05), ('l1_ratio', 0.27288233923697464)]"
4,4,0.9477700554482666,"[('scaling_method', 'minmax'), ('encoding_method', 'onehot'), ('alpha', 4.285016517407152e-05), ('l1_ratio', 0.40616150111386)]"
5,5,0.9478608089523988,"[('scaling_method', 'minmax'), ('encoding_method', 'onehot'), ('alpha', 4.669816236281069e-05), ('l1_ratio', 0.3923138973036818)]"
6,6,0.9404711083609538,"[('scaling_method', 'maxabs'), ('encoding_method', 'ordinal'), ('alpha', 4.411108904980784e-05), ('l1_ratio', 0.1323313415860231)]"
7,7,0.9502611141530796,"[('scaling_method', 'minmax'), ('encoding_method', 'onehot'), ('alpha', 0.0004062969223036445), ('l1_ratio', 0.3609245208795582)]"
8,8,0.9400510297262015,"[('scaling_method', 'maxabs'), ('encoding_method', 'ordinal'), ('alpha', 7.02102514237575e-05), ('l1_ratio', 0.16590025528764546)]"
9,9,0.940993538945081,"[('scaling_method', 'minmax'), ('encoding_method', 'ordinal'), ('alpha', 1.4886774605308342e-05), ('l1_ratio', 0.13016916557152564)]"
10,10,0.9502617493701763,"[('scaling_method', 'standard'), ('encoding_method', 'onehot'), ('alpha', 0.000781019241060922), ('l1_ratio', 0.31702437900015135)]"
11,11,0.9502867321604869,"[('scaling_method', 'standard'), ('encoding_method', 'onehot'), ('alpha', 0.0009250581539385521), ('l1_ratio', 0.3128897101016106)]"
12,12,0.9502632685571198,"[('scaling_method', 'standard'), ('encoding_method', 'onehot'), ('alpha', 0.0009772712247843492), ('l1_ratio', 0.2552872691537803)]"
13,13,0.950194247438424,"[('scaling_method', 'standard'), ('encoding_method', 'onehot'), ('alpha', 0.0009588108543880037), ('l1_ratio', 0.20998280074170833)]"
14,14,0.9500306327022351,"[('scaling_method', 'standard'), ('encoding_method', 'onehot'), ('alpha', 0.0003108254054428836), ('l1_ratio', 0.4965878735239358)]"
15,15,0.9499463722900312,"[('scaling_method', 'standard'), ('encoding_method', 'onehot'), ('alpha', 0.0005430935681303572), ('l1_ratio', 0.23374363323917802)]"
16,16,0.9489528489046407,"[('scaling_method', 'standard'), ('encoding_method', 'onehot'), ('alpha', 0.00019627526780464626), ('l1_ratio', 0.28554361439751363)]"
17,17,0.948404286067279,"[('scaling_method', 'standard'), ('encoding_method', 'onehot'), ('alpha', 0.00022534430669881813), ('l1_ratio', 0.1636275754370256)]"
18,18,0.9413314581328264,"[('scaling_method', 'standard'), ('encoding_method', 'ordinal'), ('alpha', 0.0006162178077226463), ('l1_ratio', 0.5124252004193025)]"
19,19,0.9463726327581299,"[('scaling_method', 'maxabs'), ('encoding_method', 'onehot'), ('alpha', 0.00011322168695484065), ('l1_ratio', 0.18365014298159904)]"
20,20,0.9487657384681827,"[('scaling_method', 'robust'), ('encoding_method', 'onehot'), ('alpha', 0.00035696192261499795), ('l1_ratio', 0.10734801027125285)]"
21,21,0.950256989181246,"[('scaling_method', 'standard'), ('encoding_method', 'onehot'), ('alpha', 0.000982489110532435), ('l1_ratio', 0.332920448201341)]"
22,22,0.9502199366499683,"[('scaling_method', 'standard'), ('encoding_method', 'onehot'), ('alpha', 0.000723276272532419), ('l1_ratio', 0.3077014376532917)]"
23,23,0.9499427967166195,"[('scaling_method', 'standard'), ('encoding_method', 'onehot'), ('alpha', 0.0005113916917747718), ('l1_ratio', 0.24854195258083986)]"
24,24,0.9500943659949123,"[('scaling_method', 'standard'), ('encoding_method', 'onehot'), ('alpha', 0.0009981585908720488), ('l1_ratio', 0.4149354535850858)]"
25,25,0.9502255320941835,"[('scaling_method', 'standard'), ('encoding_method', 'onehot'), ('alpha', 0.000668182482650391), ('l1_ratio', 0.3390517217570686)]"
26,26,0.9412436818978287,"[('scaling_method', 'standard'), ('encoding_method', 'ordinal'), ('alpha', 0.00028209597182191076), ('l1_ratio', 0.2565309318052894)]"
27,27,0.9502154020604197,"[('scaling_method', 'standard'), ('encoding_method', 'onehot'), ('alpha', 0.00047891470706873325), ('l1_ratio', 0.4638466714073542)]"
28,28,0.9506801384129503,"[('scaling_method', 'robust'), ('encoding_method', 'onehot'), ('alpha', 0.0007678588983819241), ('l1_ratio', 0.3044341724648885)]"
29,29,0.9481143826405536,"[('scaling_method', 'robust'), ('encoding_method', 'onehot'), ('alpha', 0.00013432860704480818), ('l1_ratio', 0.2138689936977346)]"
30,30,0.9488517102995327,"[('scaling_method', 'robust'), ('encoding_method', 'onehot'), ('alpha', 0.00024438705049654655), ('l1_ratio', 0.18453940939173613)]"
