,Trial,Score,Parameters
0,0,0.9357993555883761,"[('scaling_method', 'robust'), ('n_estimators', 745), ('learning_rate', 0.21678069375759798), ('max_depth', 5), ('subsample', 0.8675314147132316), ('min_sample_split', 9), ('min_sample_leaf', 6)]"
1,1,0.9356945325081594,"[('scaling_method', 'standard'), ('n_estimators', 927), ('learning_rate', 0.16676247629233104), ('max_depth', 5), ('subsample', 0.5346444711905138), ('min_sample_split', 10), ('min_sample_leaf', 5)]"
2,2,0.9404712778758498,"[('scaling_method', 'standard'), ('n_estimators', 557), ('learning_rate', 0.01298555117298648), ('max_depth', 4), ('subsample', 0.8187148917834679), ('min_sample_split', 9), ('min_sample_leaf', 2)]"
3,3,0.9374337989303985,"[('scaling_method', 'robust'), ('n_estimators', 739), ('learning_rate', 0.30056167053591193), ('max_depth', 3), ('subsample', 0.7277279365904971), ('min_sample_split', 6), ('min_sample_leaf', 3)]"
4,4,0.9334670120414374,"[('scaling_method', 'maxabs'), ('n_estimators', 839), ('learning_rate', 0.005362638585995274), ('max_depth', 5), ('subsample', 0.9111635894538709), ('min_sample_split', 8), ('min_sample_leaf', 10)]"
5,5,0.9439502517477327,"[('scaling_method', 'standard'), ('n_estimators', 781), ('learning_rate', 0.1747098275109686), ('max_depth', 2), ('subsample', 0.9858338684623511), ('min_sample_split', 6), ('min_sample_leaf', 3)]"
6,6,0.9247677600113302,"[('scaling_method', 'minmax'), ('n_estimators', 756), ('learning_rate', 0.005035471887648394), ('max_depth', 4), ('subsample', 0.8722585561991631), ('min_sample_split', 9), ('min_sample_leaf', 4)]"
7,7,0.9282488590796234,"[('scaling_method', 'robust'), ('n_estimators', 837), ('learning_rate', 0.010660702319443997), ('max_depth', 2), ('subsample', 0.5593242678129489), ('min_sample_split', 9), ('min_sample_leaf', 5)]"
8,8,0.9354900250097401,"[('scaling_method', 'minmax'), ('n_estimators', 659), ('learning_rate', 0.22488579927224434), ('max_depth', 5), ('subsample', 0.9568364413627585), ('min_sample_split', 10), ('min_sample_leaf', 6)]"
9,9,0.945571530545184,"[('scaling_method', 'standard'), ('n_estimators', 711), ('learning_rate', 0.07993978201950279), ('max_depth', 4), ('subsample', 0.8046539355021785), ('min_sample_split', 7), ('min_sample_leaf', 9)]"
10,10,0.1274588516688943,"[('scaling_method', 'maxabs'), ('n_estimators', 529), ('learning_rate', 0.00022974998092777142), ('max_depth', 6), ('subsample', 0.6901499260740489), ('min_sample_split', 7), ('min_sample_leaf', 10)]"
11,11,0.9407691567435841,"[('scaling_method', 'standard'), ('n_estimators', 637), ('learning_rate', 0.046753172369381465), ('max_depth', 2), ('subsample', 0.9872963120097928), ('min_sample_split', 6), ('min_sample_leaf', 8)]"
12,12,0.8050784190537991,"[('scaling_method', 'standard'), ('n_estimators', 982), ('learning_rate', 0.958048249309649), ('max_depth', 3), ('subsample', 0.7940374627354732), ('min_sample_split', 7), ('min_sample_leaf', 1)]"
13,13,0.9484858210323479,"[('scaling_method', 'standard'), ('n_estimators', 659), ('learning_rate', 0.0374726394725248), ('max_depth', 3), ('subsample', 0.6545674359351628), ('min_sample_split', 7), ('min_sample_leaf', 8)]"
14,14,0.9479380097290072,"[('scaling_method', 'standard'), ('n_estimators', 662), ('learning_rate', 0.03528038583658852), ('max_depth', 3), ('subsample', 0.6405429469511612), ('min_sample_split', 7), ('min_sample_leaf', 8)]"
15,15,0.39410152237811513,"[('scaling_method', 'standard'), ('n_estimators', 610), ('learning_rate', 0.0007736458590934882), ('max_depth', 3), ('subsample', 0.6233879499754975), ('min_sample_split', 8), ('min_sample_leaf', 8)]"
16,16,0.9473616562426359,"[('scaling_method', 'standard'), ('n_estimators', 677), ('learning_rate', 0.025057203678481913), ('max_depth', 3), ('subsample', 0.6496018953406556), ('min_sample_split', 7), ('min_sample_leaf', 7)]"
17,17,0.6711687907700877,"[('scaling_method', 'maxabs'), ('n_estimators', 588), ('learning_rate', 0.001838098742602244), ('max_depth', 3), ('subsample', 0.6012080938577967), ('min_sample_split', 8), ('min_sample_leaf', 8)]"
18,18,0.9385728456386079,"[('scaling_method', 'minmax'), ('n_estimators', 505), ('learning_rate', 0.0332735844442792), ('max_depth', 2), ('subsample', 0.6876560088685333), ('min_sample_split', 7), ('min_sample_leaf', 9)]"
19,19,0.6958821924972259,"[('scaling_method', 'standard'), ('n_estimators', 819), ('learning_rate', 0.001421943598420521), ('max_depth', 3), ('subsample', 0.576645505906706), ('min_sample_split', 6), ('min_sample_leaf', 7)]"
20,20,0.9488677235690635,"[('scaling_method', 'standard'), ('n_estimators', 691), ('learning_rate', 0.058150457649842724), ('max_depth', 4), ('subsample', 0.5087667449447508), ('min_sample_split', 8), ('min_sample_leaf', 7)]"
21,21,0.9457788286456396,"[('scaling_method', 'standard'), ('n_estimators', 691), ('learning_rate', 0.05685743815215403), ('max_depth', 4), ('subsample', 0.5045235247409515), ('min_sample_split', 8), ('min_sample_leaf', 7)]"
22,22,0.9463691242423332,"[('scaling_method', 'standard'), ('n_estimators', 636), ('learning_rate', 0.01837167254078307), ('max_depth', 4), ('subsample', 0.6519745144218647), ('min_sample_split', 8), ('min_sample_leaf', 9)]"
23,23,0.8916038238889744,"[('scaling_method', 'standard'), ('n_estimators', 580), ('learning_rate', 0.6772844401997647), ('max_depth', 3), ('subsample', 0.7380153036544959), ('min_sample_split', 7), ('min_sample_leaf', 7)]"
24,24,0.9459503970806399,"[('scaling_method', 'standard'), ('n_estimators', 710), ('learning_rate', 0.08710264129070155), ('max_depth', 4), ('subsample', 0.5070607758220532), ('min_sample_split', 8), ('min_sample_leaf', 8)]"
25,25,0.9321255339157309,"[('scaling_method', 'standard'), ('n_estimators', 634), ('learning_rate', 0.005527375595333015), ('max_depth', 6), ('subsample', 0.5979671049367115), ('min_sample_split', 7), ('min_sample_leaf', 6)]"
26,26,0.9457853023708114,"[('scaling_method', 'robust'), ('n_estimators', 779), ('learning_rate', 0.08508835771034046), ('max_depth', 3), ('subsample', 0.6926605798801646), ('min_sample_split', 7), ('min_sample_leaf', 9)]"
27,27,0.9439860119384299,"[('scaling_method', 'minmax'), ('n_estimators', 671), ('learning_rate', 0.026960663311767864), ('max_depth', 4), ('subsample', 0.649923650841813), ('min_sample_split', 8), ('min_sample_leaf', 10)]"
28,28,0.923193960347672,"[('scaling_method', 'maxabs'), ('n_estimators', 885), ('learning_rate', 0.46114523418023523), ('max_depth', 2), ('subsample', 0.5483871417961035), ('min_sample_split', 6), ('min_sample_leaf', 7)]"
29,29,0.9418274577064034,"[('scaling_method', 'robust'), ('n_estimators', 737), ('learning_rate', 0.1295220954966621), ('max_depth', 4), ('subsample', 0.6189020988455487), ('min_sample_split', 8), ('min_sample_leaf', 6)]"
30,30,0.9461599344564725,"[('scaling_method', 'standard'), ('n_estimators', 604), ('learning_rate', 0.03803541543865809), ('max_depth', 5), ('subsample', 0.768190448644501), ('min_sample_split', 9), ('min_sample_leaf', 8)]"
31,31,0.9455455057430461,"[('scaling_method', 'standard'), ('n_estimators', 673), ('learning_rate', 0.019475617333136373), ('max_depth', 3), ('subsample', 0.6555842213614251), ('min_sample_split', 7), ('min_sample_leaf', 7)]"
32,32,0.9310330086496995,"[('scaling_method', 'standard'), ('n_estimators', 712), ('learning_rate', 0.007923705424115886), ('max_depth', 3), ('subsample', 0.7152611151668029), ('min_sample_split', 7), ('min_sample_leaf', 6)]"
33,33,0.9445843208427054,"[('scaling_method', 'standard'), ('n_estimators', 652), ('learning_rate', 0.018130579757418996), ('max_depth', 3), ('subsample', 0.5297249611648387), ('min_sample_split', 7), ('min_sample_leaf', 7)]"
34,34,0.9450832431756403,"[('scaling_method', 'standard'), ('n_estimators', 564), ('learning_rate', 0.050125082546120116), ('max_depth', 2), ('subsample', 0.5716430885310593), ('min_sample_split', 6), ('min_sample_leaf', 5)]"
35,35,0.9478285019903628,"[('scaling_method', 'standard'), ('n_estimators', 694), ('learning_rate', 0.1039654290745268), ('max_depth', 3), ('subsample', 0.7672289337909665), ('min_sample_split', 10), ('min_sample_leaf', 8)]"
