,Trial,Score,Parameters
0,0,0.9084455125867825,"[('scaling_method', 'minmax'), ('bootstrap', True), ('n_estimators', 304), ('max_depth', 70), ('min_samples_split', 5), ('min_samples_leaf', 1)]"
1,1,0.9082270111188523,"[('scaling_method', 'robust'), ('bootstrap', True), ('n_estimators', 254), ('max_depth', 50), ('min_samples_split', 4), ('min_samples_leaf', 1)]"
2,2,0.9006897760382706,"[('scaling_method', 'maxabs'), ('bootstrap', True), ('n_estimators', 301), ('max_depth', 51), ('min_samples_split', 5), ('min_samples_leaf', 5)]"
3,3,0.8998996415931397,"[('scaling_method', 'minmax'), ('bootstrap', True), ('n_estimators', 464), ('max_depth', 75), ('min_samples_split', 4), ('min_samples_leaf', 5)]"
4,4,0.9060569912322463,"[('scaling_method', 'robust'), ('bootstrap', True), ('n_estimators', 368), ('max_depth', 59), ('min_samples_split', 5), ('min_samples_leaf', 3)]"
5,5,0.8994849883318508,"[('scaling_method', 'minmax'), ('bootstrap', True), ('n_estimators', 293), ('max_depth', 59), ('min_samples_split', 5), ('min_samples_leaf', 5)]"
6,6,0.907612705240007,"[('scaling_method', 'standard'), ('bootstrap', True), ('n_estimators', 500), ('max_depth', 59), ('min_samples_split', 6), ('min_samples_leaf', 2)]"
7,7,0.9092303325413689,"[('scaling_method', 'standard'), ('bootstrap', True), ('n_estimators', 267), ('max_depth', 64), ('min_samples_split', 4), ('min_samples_leaf', 2)]"
8,8,0.9087023386779167,"[('scaling_method', 'minmax'), ('bootstrap', True), ('n_estimators', 311), ('max_depth', 51), ('min_samples_split', 5), ('min_samples_leaf', 2)]"
9,9,0.9076228683459717,"[('scaling_method', 'standard'), ('bootstrap', True), ('n_estimators', 268), ('max_depth', 64), ('min_samples_split', 6), ('min_samples_leaf', 1)]"
10,10,0.9061629370290079,"[('scaling_method', 'standard'), ('bootstrap', True), ('n_estimators', 374), ('max_depth', 67), ('min_samples_split', 4), ('min_samples_leaf', 3)]"
11,11,0.9098140035652329,"[('scaling_method', 'maxabs'), ('bootstrap', True), ('n_estimators', 333), ('max_depth', 55), ('min_samples_split', 4), ('min_samples_leaf', 2)]"
12,12,0.9080202199245078,"[('scaling_method', 'maxabs'), ('bootstrap', True), ('n_estimators', 332), ('max_depth', 56), ('min_samples_split', 4), ('min_samples_leaf', 2)]"
13,13,0.9040571462024136,"[('scaling_method', 'maxabs'), ('bootstrap', True), ('n_estimators', 341), ('max_depth', 64), ('min_samples_split', 4), ('min_samples_leaf', 4)]"
14,14,0.9077534568504153,"[('scaling_method', 'maxabs'), ('bootstrap', True), ('n_estimators', 408), ('max_depth', 54), ('min_samples_split', 4), ('min_samples_leaf', 2)]"
15,15,0.9070464789785235,"[('scaling_method', 'standard'), ('bootstrap', True), ('n_estimators', 417), ('max_depth', 68), ('min_samples_split', 4), ('min_samples_leaf', 3)]"
16,16,0.9034409016407345,"[('scaling_method', 'maxabs'), ('bootstrap', True), ('n_estimators', 272), ('max_depth', 55), ('min_samples_split', 4), ('min_samples_leaf', 4)]"
17,17,0.9057321329559239,"[('scaling_method', 'standard'), ('bootstrap', True), ('n_estimators', 339), ('max_depth', 62), ('min_samples_split', 6), ('min_samples_leaf', 2)]"
18,18,0.9041349063998348,"[('scaling_method', 'robust'), ('bootstrap', True), ('n_estimators', 421), ('max_depth', 73), ('min_samples_split', 5), ('min_samples_leaf', 4)]"
19,19,0.9094238885753257,"[('scaling_method', 'maxabs'), ('bootstrap', True), ('n_estimators', 279), ('max_depth', 62), ('min_samples_split', 4), ('min_samples_leaf', 1)]"
20,20,0.9077685015129168,"[('scaling_method', 'maxabs'), ('bootstrap', True), ('n_estimators', 358), ('max_depth', 61), ('min_samples_split', 5), ('min_samples_leaf', 1)]"
21,21,0.9097410728322104,"[('scaling_method', 'maxabs'), ('bootstrap', True), ('n_estimators', 278), ('max_depth', 65), ('min_samples_split', 4), ('min_samples_leaf', 1)]"
22,22,0.908327358365209,"[('scaling_method', 'maxabs'), ('bootstrap', True), ('n_estimators', 284), ('max_depth', 66), ('min_samples_split', 4), ('min_samples_leaf', 1)]"
23,23,0.9097007095522599,"[('scaling_method', 'maxabs'), ('bootstrap', True), ('n_estimators', 322), ('max_depth', 70), ('min_samples_split', 4), ('min_samples_leaf', 1)]"
24,24,0.9077597290960913,"[('scaling_method', 'maxabs'), ('bootstrap', True), ('n_estimators', 325), ('max_depth', 72), ('min_samples_split', 4), ('min_samples_leaf', 1)]"
25,25,0.9069727957094014,"[('scaling_method', 'maxabs'), ('bootstrap', True), ('n_estimators', 399), ('max_depth', 69), ('min_samples_split', 4), ('min_samples_leaf', 2)]"
26,26,0.9087765594427586,"[('scaling_method', 'maxabs'), ('bootstrap', True), ('n_estimators', 346), ('max_depth', 72), ('min_samples_split', 4), ('min_samples_leaf', 1)]"
27,27,0.9096085336106068,"[('scaling_method', 'maxabs'), ('bootstrap', True), ('n_estimators', 315), ('max_depth', 66), ('min_samples_split', 4), ('min_samples_leaf', 2)]"
28,28,0.9081494198657354,"[('scaling_method', 'maxabs'), ('bootstrap', True), ('n_estimators', 386), ('max_depth', 70), ('min_samples_split', 5), ('min_samples_leaf', 1)]"
29,29,0.9075600537554052,"[('scaling_method', 'maxabs'), ('bootstrap', True), ('n_estimators', 314), ('max_depth', 57), ('min_samples_split', 5), ('min_samples_leaf', 1)]"
30,30,0.9093670527110103,"[('scaling_method', 'robust'), ('bootstrap', True), ('n_estimators', 294), ('max_depth', 53), ('min_samples_split', 4), ('min_samples_leaf', 2)]"
31,31,0.9081407157321943,"[('scaling_method', 'maxabs'), ('bootstrap', True), ('n_estimators', 318), ('max_depth', 66), ('min_samples_split', 4), ('min_samples_leaf', 3)]"
32,32,0.9068980764739286,"[('scaling_method', 'maxabs'), ('bootstrap', True), ('n_estimators', 353), ('max_depth', 66), ('min_samples_split', 4), ('min_samples_leaf', 2)]"
33,33,0.9084292129421894,"[('scaling_method', 'maxabs'), ('bootstrap', True), ('n_estimators', 252), ('max_depth', 70), ('min_samples_split', 4), ('min_samples_leaf', 1)]"
34,34,0.9061289511556352,"[('scaling_method', 'minmax'), ('bootstrap', True), ('n_estimators', 305), ('max_depth', 68), ('min_samples_split', 4), ('min_samples_leaf', 3)]"
35,35,0.9091062011912397,"[('scaling_method', 'maxabs'), ('bootstrap', True), ('n_estimators', 323), ('max_depth', 75), ('min_samples_split', 4), ('min_samples_leaf', 1)]"
36,36,0.9078130598354711,"[('scaling_method', 'robust'), ('bootstrap', True), ('n_estimators', 303), ('max_depth', 65), ('min_samples_split', 5), ('min_samples_leaf', 2)]"
37,37,0.9083540160534491,"[('scaling_method', 'maxabs'), ('bootstrap', True), ('n_estimators', 360), ('max_depth', 60), ('min_samples_split', 4), ('min_samples_leaf', 3)]"
38,38,0.9058757061672283,"[('scaling_method', 'minmax'), ('bootstrap', True), ('n_estimators', 291), ('max_depth', 63), ('min_samples_split', 4), ('min_samples_leaf', 2)]"
39,39,0.9099364185081078,"[('scaling_method', 'maxabs'), ('bootstrap', True), ('n_estimators', 332), ('max_depth', 70), ('min_samples_split', 4), ('min_samples_leaf', 1)]"
40,40,0.9080903178987526,"[('scaling_method', 'maxabs'), ('bootstrap', True), ('n_estimators', 385), ('max_depth', 72), ('min_samples_split', 5), ('min_samples_leaf', 1)]"
41,41,0.9081725469799377,"[('scaling_method', 'maxabs'), ('bootstrap', True), ('n_estimators', 331), ('max_depth', 68), ('min_samples_split', 4), ('min_samples_leaf', 1)]"
42,42,0.9086089613574038,"[('scaling_method', 'maxabs'), ('bootstrap', True), ('n_estimators', 305), ('max_depth', 71), ('min_samples_split', 4), ('min_samples_leaf', 1)]"
43,43,0.9084883700809181,"[('scaling_method', 'maxabs'), ('bootstrap', True), ('n_estimators', 286), ('max_depth', 74), ('min_samples_split', 4), ('min_samples_leaf', 2)]"
44,44,0.9081322863154127,"[('scaling_method', 'minmax'), ('bootstrap', True), ('n_estimators', 446), ('max_depth', 67), ('min_samples_split', 4), ('min_samples_leaf', 1)]"
45,45,0.9073362795664753,"[('scaling_method', 'maxabs'), ('bootstrap', True), ('n_estimators', 266), ('max_depth', 50), ('min_samples_split', 4), ('min_samples_leaf', 2)]"
46,46,0.9083420741579215,"[('scaling_method', 'robust'), ('bootstrap', True), ('n_estimators', 368), ('max_depth', 70), ('min_samples_split', 4), ('min_samples_leaf', 2)]"
47,47,0.9092167103887017,"[('scaling_method', 'maxabs'), ('bootstrap', True), ('n_estimators', 336), ('max_depth', 64), ('min_samples_split', 6), ('min_samples_leaf', 1)]"
48,48,0.9065015545741335,"[('scaling_method', 'maxabs'), ('bootstrap', True), ('n_estimators', 500), ('max_depth', 69), ('min_samples_split', 4), ('min_samples_leaf', 2)]"
49,49,0.8996151946217059,"[('scaling_method', 'standard'), ('bootstrap', True), ('n_estimators', 260), ('max_depth', 52), ('min_samples_split', 4), ('min_samples_leaf', 5)]"
50,50,0.9077279253241464,"[('scaling_method', 'maxabs'), ('bootstrap', True), ('n_estimators', 347), ('max_depth', 57), ('min_samples_split', 5), ('min_samples_leaf', 1)]"
51,51,0.9075215989112445,"[('scaling_method', 'maxabs'), ('bootstrap', True), ('n_estimators', 277), ('max_depth', 63), ('min_samples_split', 4), ('min_samples_leaf', 1)]"
52,52,0.9083769593706459,"[('scaling_method', 'maxabs'), ('bootstrap', True), ('n_estimators', 281), ('max_depth', 61), ('min_samples_split', 4), ('min_samples_leaf', 1)]"
53,53,0.9086178370573165,"[('scaling_method', 'maxabs'), ('bootstrap', True), ('n_estimators', 299), ('max_depth', 65), ('min_samples_split', 4), ('min_samples_leaf', 1)]"
54,54,0.9077750698034258,"[('scaling_method', 'maxabs'), ('bootstrap', True), ('n_estimators', 313), ('max_depth', 62), ('min_samples_split', 4), ('min_samples_leaf', 1)]"
55,55,0.90762394621228,"[('scaling_method', 'maxabs'), ('bootstrap', True), ('n_estimators', 327), ('max_depth', 67), ('min_samples_split', 4), ('min_samples_leaf', 2)]"
56,56,0.9095027582318365,"[('scaling_method', 'standard'), ('bootstrap', True), ('n_estimators', 277), ('max_depth', 65), ('min_samples_split', 4), ('min_samples_leaf', 1)]"
57,57,0.9046324340433227,"[('scaling_method', 'standard'), ('bootstrap', True), ('n_estimators', 263), ('max_depth', 65), ('min_samples_split', 4), ('min_samples_leaf', 3)]"
58,58,0.9095424801055271,"[('scaling_method', 'standard'), ('bootstrap', True), ('n_estimators', 250), ('max_depth', 69), ('min_samples_split', 4), ('min_samples_leaf', 1)]"
59,59,0.9044230249745036,"[('scaling_method', 'standard'), ('bootstrap', True), ('n_estimators', 292), ('max_depth', 69), ('min_samples_split', 4), ('min_samples_leaf', 4)]"
60,60,0.9072703895645693,"[('scaling_method', 'standard'), ('bootstrap', True), ('n_estimators', 252), ('max_depth', 73), ('min_samples_split', 6), ('min_samples_leaf', 1)]"
61,61,0.9082667630838877,"[('scaling_method', 'standard'), ('bootstrap', True), ('n_estimators', 274), ('max_depth', 71), ('min_samples_split', 4), ('min_samples_leaf', 1)]"
62,62,0.9077690669972462,"[('scaling_method', 'standard'), ('bootstrap', True), ('n_estimators', 259), ('max_depth', 67), ('min_samples_split', 4), ('min_samples_leaf', 1)]"
63,63,0.9084370829842734,"[('scaling_method', 'standard'), ('bootstrap', True), ('n_estimators', 314), ('max_depth', 68), ('min_samples_split', 4), ('min_samples_leaf', 1)]"
64,64,0.9070156788023911,"[('scaling_method', 'standard'), ('bootstrap', True), ('n_estimators', 342), ('max_depth', 71), ('min_samples_split', 4), ('min_samples_leaf', 2)]"
65,65,0.90770823454568,"[('scaling_method', 'standard'), ('bootstrap', True), ('n_estimators', 285), ('max_depth', 69), ('min_samples_split', 4), ('min_samples_leaf', 1)]"
66,66,0.907422881156521,"[('scaling_method', 'minmax'), ('bootstrap', True), ('n_estimators', 271), ('max_depth', 66), ('min_samples_split', 4), ('min_samples_leaf', 1)]"
67,67,0.9095010191301641,"[('scaling_method', 'robust'), ('bootstrap', True), ('n_estimators', 323), ('max_depth', 64), ('min_samples_split', 4), ('min_samples_leaf', 2)]"
68,68,0.9079984353097477,"[('scaling_method', 'standard'), ('bootstrap', True), ('n_estimators', 306), ('max_depth', 67), ('min_samples_split', 4), ('min_samples_leaf', 1)]"
69,69,0.9088057805381871,"[('scaling_method', 'maxabs'), ('bootstrap', True), ('n_estimators', 300), ('max_depth', 65), ('min_samples_split', 4), ('min_samples_leaf', 1)]"
70,70,0.9085920283702179,"[('scaling_method', 'standard'), ('bootstrap', True), ('n_estimators', 351), ('max_depth', 58), ('min_samples_split', 4), ('min_samples_leaf', 2)]"
71,71,0.9086751834928585,"[('scaling_method', 'robust'), ('bootstrap', True), ('n_estimators', 324), ('max_depth', 63), ('min_samples_split', 4), ('min_samples_leaf', 2)]"
72,72,0.9078791950156423,"[('scaling_method', 'robust'), ('bootstrap', True), ('n_estimators', 330), ('max_depth', 64), ('min_samples_split', 4), ('min_samples_leaf', 2)]"
73,73,0.9084610704992667,"[('scaling_method', 'robust'), ('bootstrap', True), ('n_estimators', 358), ('max_depth', 66), ('min_samples_split', 4), ('min_samples_leaf', 2)]"
74,74,0.9062219757041376,"[('scaling_method', 'robust'), ('bootstrap', True), ('n_estimators', 338), ('max_depth', 61), ('min_samples_split', 4), ('min_samples_leaf', 3)]"
75,75,0.9083736217167344,"[('scaling_method', 'robust'), ('bootstrap', True), ('n_estimators', 310), ('max_depth', 55), ('min_samples_split', 4), ('min_samples_leaf', 1)]"
76,76,0.9095072370694157,"[('scaling_method', 'maxabs'), ('bootstrap', True), ('n_estimators', 319), ('max_depth', 68), ('min_samples_split', 4), ('min_samples_leaf', 1)]"
77,77,0.9119624967805391,"[('scaling_method', 'maxabs'), ('bootstrap', True), ('n_estimators', 320), ('max_depth', 69), ('min_samples_split', 4), ('min_samples_leaf', 1)]"
78,78,0.9094331075565152,"[('scaling_method', 'maxabs'), ('bootstrap', True), ('n_estimators', 371), ('max_depth', 68), ('min_samples_split', 4), ('min_samples_leaf', 1)]"
79,79,0.9086453310703756,"[('scaling_method', 'maxabs'), ('bootstrap', True), ('n_estimators', 316), ('max_depth', 71), ('min_samples_split', 5), ('min_samples_leaf', 1)]"
80,80,0.9040420615011269,"[('scaling_method', 'maxabs'), ('bootstrap', True), ('n_estimators', 486), ('max_depth', 70), ('min_samples_split', 4), ('min_samples_leaf', 4)]"
81,81,0.9083731610121979,"[('scaling_method', 'maxabs'), ('bootstrap', True), ('n_estimators', 295), ('max_depth', 69), ('min_samples_split', 4), ('min_samples_leaf', 1)]"
82,82,0.9092825036496731,"[('scaling_method', 'maxabs'), ('bootstrap', True), ('n_estimators', 334), ('max_depth', 68), ('min_samples_split', 4), ('min_samples_leaf', 1)]"
83,83,0.906429623837784,"[('scaling_method', 'maxabs'), ('bootstrap', True), ('n_estimators', 288), ('max_depth', 67), ('min_samples_split', 4), ('min_samples_leaf', 1)]"
84,84,0.9088856365099833,"[('scaling_method', 'maxabs'), ('bootstrap', True), ('n_estimators', 320), ('max_depth', 70), ('min_samples_split', 4), ('min_samples_leaf', 1)]"
85,85,0.9086019058211628,"[('scaling_method', 'maxabs'), ('bootstrap', True), ('n_estimators', 250), ('max_depth', 72), ('min_samples_split', 4), ('min_samples_leaf', 1)]"
86,86,0.9091618330767944,"[('scaling_method', 'maxabs'), ('bootstrap', True), ('n_estimators', 308), ('max_depth', 68), ('min_samples_split', 4), ('min_samples_leaf', 1)]"
87,87,0.9090075105093307,"[('scaling_method', 'minmax'), ('bootstrap', True), ('n_estimators', 344), ('max_depth', 73), ('min_samples_split', 4), ('min_samples_leaf', 1)]"
88,88,0.9103846679409157,"[('scaling_method', 'maxabs'), ('bootstrap', True), ('n_estimators', 270), ('max_depth', 66), ('min_samples_split', 4), ('min_samples_leaf', 1)]"
89,89,0.9082166142172583,"[('scaling_method', 'maxabs'), ('bootstrap', True), ('n_estimators', 257), ('max_depth', 69), ('min_samples_split', 4), ('min_samples_leaf', 1)]"
90,90,0.9094966536496223,"[('scaling_method', 'maxabs'), ('bootstrap', True), ('n_estimators', 299), ('max_depth', 70), ('min_samples_split', 4), ('min_samples_leaf', 1)]"
91,91,0.9080855336827329,"[('scaling_method', 'maxabs'), ('bootstrap', True), ('n_estimators', 268), ('max_depth', 66), ('min_samples_split', 4), ('min_samples_leaf', 1)]"
92,92,0.9069188453037521,"[('scaling_method', 'maxabs'), ('bootstrap', True), ('n_estimators', 271), ('max_depth', 65), ('min_samples_split', 4), ('min_samples_leaf', 1)]"
93,93,0.9098305207647642,"[('scaling_method', 'maxabs'), ('bootstrap', True), ('n_estimators', 279), ('max_depth', 51), ('min_samples_split', 4), ('min_samples_leaf', 1)]"
94,94,0.9079547198230816,"[('scaling_method', 'maxabs'), ('bootstrap', True), ('n_estimators', 281), ('max_depth', 50), ('min_samples_split', 4), ('min_samples_leaf', 1)]"
95,95,0.9089270309679179,"[('scaling_method', 'maxabs'), ('bootstrap', True), ('n_estimators', 263), ('max_depth', 53), ('min_samples_split', 4), ('min_samples_leaf', 1)]"
96,96,0.9083643051080228,"[('scaling_method', 'maxabs'), ('bootstrap', True), ('n_estimators', 319), ('max_depth', 54), ('min_samples_split', 4), ('min_samples_leaf', 1)]"
97,97,0.9094368875651648,"[('scaling_method', 'maxabs'), ('bootstrap', True), ('n_estimators', 256), ('max_depth', 51), ('min_samples_split', 4), ('min_samples_leaf', 1)]"
98,98,0.9078798887418796,"[('scaling_method', 'maxabs'), ('bootstrap', True), ('n_estimators', 362), ('max_depth', 67), ('min_samples_split', 4), ('min_samples_leaf', 3)]"
99,99,0.9081032086958967,"[('scaling_method', 'maxabs'), ('bootstrap', True), ('n_estimators', 334), ('max_depth', 66), ('min_samples_split', 4), ('min_samples_leaf', 1)]"
100,100,0.9091154814550088,"[('scaling_method', 'maxabs'), ('bootstrap', True), ('n_estimators', 328), ('max_depth', 71), ('min_samples_split', 6), ('min_samples_leaf', 1)]"
101,101,0.9087197423552131,"[('scaling_method', 'standard'), ('bootstrap', True), ('n_estimators', 279), ('max_depth', 69), ('min_samples_split', 4), ('min_samples_leaf', 1)]"
102,102,0.9076541391192074,"[('scaling_method', 'maxabs'), ('bootstrap', True), ('n_estimators', 274), ('max_depth', 52), ('min_samples_split', 4), ('min_samples_leaf', 1)]"
103,103,0.9076281780325097,"[('scaling_method', 'maxabs'), ('bootstrap', True), ('n_estimators', 286), ('max_depth', 68), ('min_samples_split', 4), ('min_samples_leaf', 1)]"
104,104,0.9099632432329892,"[('scaling_method', 'standard'), ('bootstrap', True), ('n_estimators', 264), ('max_depth', 65), ('min_samples_split', 4), ('min_samples_leaf', 1)]"
105,105,0.9028068800850116,"[('scaling_method', 'minmax'), ('bootstrap', True), ('n_estimators', 263), ('max_depth', 64), ('min_samples_split', 4), ('min_samples_leaf', 5)]"
106,106,0.9098998299545005,"[('scaling_method', 'maxabs'), ('bootstrap', True), ('n_estimators', 381), ('max_depth', 67), ('min_samples_split', 4), ('min_samples_leaf', 1)]"
107,107,0.9091906041712139,"[('scaling_method', 'maxabs'), ('bootstrap', True), ('n_estimators', 436), ('max_depth', 67), ('min_samples_split', 4), ('min_samples_leaf', 1)]"
108,108,0.910432158806584,"[('scaling_method', 'standard'), ('bootstrap', True), ('n_estimators', 379), ('max_depth', 66), ('min_samples_split', 4), ('min_samples_leaf', 1)]"
109,109,0.9083037593730391,"[('scaling_method', 'maxabs'), ('bootstrap', True), ('n_estimators', 377), ('max_depth', 66), ('min_samples_split', 4), ('min_samples_leaf', 2)]"
110,110,0.9095452125202903,"[('scaling_method', 'maxabs'), ('bootstrap', True), ('n_estimators', 398), ('max_depth', 65), ('min_samples_split', 4), ('min_samples_leaf', 1)]"
111,111,0.909122809064614,"[('scaling_method', 'maxabs'), ('bootstrap', True), ('n_estimators', 396), ('max_depth', 65), ('min_samples_split', 4), ('min_samples_leaf', 1)]"
112,112,0.9093922080336162,"[('scaling_method', 'maxabs'), ('bootstrap', True), ('n_estimators', 388), ('max_depth', 65), ('min_samples_split', 4), ('min_samples_leaf', 1)]"
113,113,0.9094331149131513,"[('scaling_method', 'maxabs'), ('bootstrap', True), ('n_estimators', 402), ('max_depth', 64), ('min_samples_split', 4), ('min_samples_leaf', 1)]"
114,114,0.906676092262312,"[('scaling_method', 'maxabs'), ('bootstrap', True), ('n_estimators', 375), ('max_depth', 63), ('min_samples_split', 4), ('min_samples_leaf', 3)]"
115,115,0.910285712423234,"[('scaling_method', 'standard'), ('bootstrap', True), ('n_estimators', 381), ('max_depth', 56), ('min_samples_split', 4), ('min_samples_leaf', 1)]"
116,116,0.9088109054605525,"[('scaling_method', 'standard'), ('bootstrap', True), ('n_estimators', 380), ('max_depth', 58), ('min_samples_split', 4), ('min_samples_leaf', 1)]"
117,117,0.9107906238642701,"[('scaling_method', 'standard'), ('bootstrap', True), ('n_estimators', 383), ('max_depth', 55), ('min_samples_split', 4), ('min_samples_leaf', 1)]"
118,118,0.908886532949627,"[('scaling_method', 'standard'), ('bootstrap', True), ('n_estimators', 390), ('max_depth', 56), ('min_samples_split', 4), ('min_samples_leaf', 1)]"
