,Trial,Score,Parameters
0,0,0.8588577289989221,"[('scaling_method', 'maxabs'), ('encoding_method', 'onehot'), ('alpha', 86.23334938940869)]"
1,1,0.9490698690331645,"[('scaling_method', 'standard'), ('encoding_method', 'onehot'), ('alpha', 5.597117642173478)]"
2,2,0.9459098228632861,"[('scaling_method', 'maxabs'), ('encoding_method', 'onehot'), ('alpha', 1.413432947101729)]"
3,3,0.9402483410105326,"[('scaling_method', 'minmax'), ('encoding_method', 'onehot'), ('alpha', 9.777004058906657)]"
4,4,0.9381347207885794,"[('scaling_method', 'minmax'), ('encoding_method', 'ordinal'), ('alpha', 6.243355288655624)]"
5,5,0.9494141840938166,"[('scaling_method', 'standard'), ('encoding_method', 'onehot'), ('alpha', 9.08431683464154)]"
6,6,0.8791855015338736,"[('scaling_method', 'maxabs'), ('encoding_method', 'onehot'), ('alpha', 64.31716451587558)]"
7,7,0.9477491443610901,"[('scaling_method', 'robust'), ('encoding_method', 'onehot'), ('alpha', 1.1858998614639362)]"
8,8,0.9342385470622598,"[('scaling_method', 'minmax'), ('encoding_method', 'onehot'), ('alpha', 17.74194860166041)]"
9,9,0.939153854427171,"[('scaling_method', 'minmax'), ('encoding_method', 'onehot'), ('alpha', 11.189789143656355)]"
10,10,0.9415884555065152,"[('scaling_method', 'standard'), ('encoding_method', 'ordinal'), ('alpha', 28.690704824585282)]"
11,11,0.9412530592318971,"[('scaling_method', 'standard'), ('encoding_method', 'ordinal'), ('alpha', 3.7430553574327745)]"
12,12,0.9485883169716409,"[('scaling_method', 'standard'), ('encoding_method', 'onehot'), ('alpha', 3.1926823633662784)]"
13,13,0.9487993742464222,"[('scaling_method', 'standard'), ('encoding_method', 'onehot'), ('alpha', 4.052738745148741)]"
14,14,0.9415928285406189,"[('scaling_method', 'standard'), ('encoding_method', 'ordinal'), ('alpha', 29.10617735430578)]"
15,15,0.9494780674893184,"[('scaling_method', 'robust'), ('encoding_method', 'onehot'), ('alpha', 7.44858320702698)]"
16,16,0.9481939995155992,"[('scaling_method', 'robust'), ('encoding_method', 'onehot'), ('alpha', 1.9363106267333583)]"
17,17,0.9497772212470423,"[('scaling_method', 'robust'), ('encoding_method', 'onehot'), ('alpha', 10.967801743269698)]"
18,18,0.9418153604044255,"[('scaling_method', 'robust'), ('encoding_method', 'ordinal'), ('alpha', 19.94101459912287)]"
19,19,0.9496788734175494,"[('scaling_method', 'robust'), ('encoding_method', 'onehot'), ('alpha', 43.40222557503712)]"
20,20,0.9495429285503663,"[('scaling_method', 'robust'), ('encoding_method', 'onehot'), ('alpha', 47.91812559998223)]"
21,21,0.949676062268311,"[('scaling_method', 'robust'), ('encoding_method', 'onehot'), ('alpha', 43.5000962780348)]"
22,22,0.949423181539412,"[('scaling_method', 'robust'), ('encoding_method', 'onehot'), ('alpha', 51.61858950493599)]"
23,23,0.9499461416970376,"[('scaling_method', 'robust'), ('encoding_method', 'onehot'), ('alpha', 32.29931599165527)]"
24,24,0.9499644175160691,"[('scaling_method', 'robust'), ('encoding_method', 'onehot'), ('alpha', 15.375238918048606)]"
