,Trial,Score,Parameters,scaling,encoding,n_estimators,learning_rate,max_depth,subsample,colsample,min_child
0,0,-1.3807390749492907,"[('scaling_method', 'standard'), ('encoding_method', 'onehot'), ('n_estimators', 342), ('learning_rate', 0.008172902216755243), ('max_depth', 3), ('subsample', 0.3185560399586813), ('colsample_bytree', 0.5546833595784315), ('min_child_weight', 5)]",standard,onehot,342,0.008172902216755243,3,0.3185560399586813,0.5546833595784315,5
1,1,-6.566164758051017,"[('scaling_method', 'maxabs'), ('encoding_method', 'onehot'), ('n_estimators', 629), ('learning_rate', 0.0013887345756673775), ('max_depth', 2), ('subsample', 0.21702580203559851), ('colsample_bytree', 0.6922750875266656), ('min_child_weight', 5)]",maxabs,onehot,629,0.0013887345756673775,2,0.21702580203559851,0.6922750875266656,5
2,2,0.9191512596134634,"[('scaling_method', 'maxabs'), ('encoding_method', 'ordinal'), ('n_estimators', 119), ('learning_rate', 0.07100053265431722), ('max_depth', 2), ('subsample', 0.418679735159158), ('colsample_bytree', 0.8137721349851987), ('min_child_weight', 3)]",maxabs,ordinal,119,0.07100053265431722,2,0.418679735159158,0.8137721349851987,3
3,3,-6.6693719440771,"[('scaling_method', 'minmax'), ('encoding_method', 'ordinal'), ('n_estimators', 110), ('learning_rate', 0.001042433566080899), ('max_depth', 2), ('subsample', 0.12930210103915296), ('colsample_bytree', 0.6540932901394748), ('min_child_weight', 5)]",minmax,ordinal,110,0.001042433566080899,2,0.12930210103915296,0.6540932901394748,5
4,4,0.9481553015679028,"[('scaling_method', 'maxabs'), ('encoding_method', 'onehot'), ('n_estimators', 765), ('learning_rate', 0.04039075072567448), ('max_depth', 3), ('subsample', 0.5285793676128653), ('colsample_bytree', 0.981543702780665), ('min_child_weight', 2)]",maxabs,onehot,765,0.04039075072567448,3,0.5285793676128653,0.981543702780665,2
5,5,-6.48124724321491,"[('scaling_method', 'standard'), ('encoding_method', 'ordinal'), ('n_estimators', 420), ('learning_rate', 0.002379973579451529), ('max_depth', 3), ('subsample', 0.5559907800178834), ('colsample_bytree', 0.7602631489878666), ('min_child_weight', 1)]",standard,ordinal,420,0.002379973579451529,3,0.5559907800178834,0.7602631489878666,1
6,6,-6.230603008635004,"[('scaling_method', 'standard'), ('encoding_method', 'onehot'), ('n_estimators', 225), ('learning_rate', 0.00543583080959284), ('max_depth', 3), ('subsample', 0.41563543042874984), ('colsample_bytree', 0.8876566642903605), ('min_child_weight', 4)]",standard,onehot,225,0.00543583080959284,3,0.41563543042874984,0.8876566642903605,4
7,7,0.9468816818069985,"[('scaling_method', 'maxabs'), ('encoding_method', 'onehot'), ('n_estimators', 796), ('learning_rate', 0.01702709008404899), ('max_depth', 4), ('subsample', 0.29523409336340267), ('colsample_bytree', 0.8871532174355083), ('min_child_weight', 1)]",maxabs,onehot,796,0.01702709008404899,4,0.29523409336340267,0.8871532174355083,1
8,8,-6.603690011556679,"[('scaling_method', 'maxabs'), ('encoding_method', 'onehot'), ('n_estimators', 713), ('learning_rate', 0.0010950409241153708), ('max_depth', 4), ('subsample', 0.46522984069786577), ('colsample_bytree', 0.8293339578321897), ('min_child_weight', 3)]",maxabs,onehot,713,0.0010950409241153708,4,0.46522984069786577,0.8293339578321897,3
9,9,-4.956122521758257,"[('scaling_method', 'maxabs'), ('encoding_method', 'ordinal'), ('n_estimators', 181), ('learning_rate', 0.009659471603898361), ('max_depth', 4), ('subsample', 0.39491250124912924), ('colsample_bytree', 0.8466667826012064), ('min_child_weight', 3)]",maxabs,ordinal,181,0.009659471603898361,4,0.39491250124912924,0.8466667826012064,3
10,10,0.9473006958504907,"[('scaling_method', 'robust'), ('encoding_method', 'onehot'), ('n_estimators', 982), ('learning_rate', 0.07524032607328629), ('max_depth', 3), ('subsample', 0.7957972118456738), ('colsample_bytree', 0.9964925042550351), ('min_child_weight', 2)]",robust,onehot,982,0.07524032607328629,3,0.7957972118456738,0.9964925042550351,2
11,11,0.9501872677071702,"[('scaling_method', 'robust'), ('encoding_method', 'onehot'), ('n_estimators', 989), ('learning_rate', 0.08671379872487157), ('max_depth', 3), ('subsample', 0.8092569407034409), ('colsample_bytree', 0.9832885949683071), ('min_child_weight', 2)]",robust,onehot,989,0.08671379872487157,3,0.8092569407034409,0.9832885949683071,2
12,12,0.9451717129473958,"[('scaling_method', 'robust'), ('encoding_method', 'onehot'), ('n_estimators', 998), ('learning_rate', 0.02722342781595423), ('max_depth', 3), ('subsample', 0.9076808919939963), ('colsample_bytree', 0.9933776021826961), ('min_child_weight', 2)]",robust,onehot,998,0.02722342781595423,3,0.9076808919939963,0.9933776021826961,2
13,13,0.9491821888914759,"[('scaling_method', 'robust'), ('encoding_method', 'onehot'), ('n_estimators', 835), ('learning_rate', 0.036940413681494186), ('max_depth', 3), ('subsample', 0.6531251329269374), ('colsample_bytree', 0.9343005289686405), ('min_child_weight', 2)]",robust,onehot,835,0.036940413681494186,3,0.6531251329269374,0.9343005289686405,2
14,14,0.9493516003298997,"[('scaling_method', 'robust'), ('encoding_method', 'onehot'), ('n_estimators', 881), ('learning_rate', 0.04673893818463486), ('max_depth', 4), ('subsample', 0.7088709303215217), ('colsample_bytree', 0.930246117805438), ('min_child_weight', 2)]",robust,onehot,881,0.04673893818463486,4,0.7088709303215217,0.930246117805438,2
15,15,0.9485216936696362,"[('scaling_method', 'robust'), ('encoding_method', 'onehot'), ('n_estimators', 889), ('learning_rate', 0.09284577746570483), ('max_depth', 4), ('subsample', 0.7402448438319785), ('colsample_bytree', 0.9263104074120097), ('min_child_weight', 1)]",robust,onehot,889,0.09284577746570483,4,0.7402448438319785,0.9263104074120097,1
16,16,0.9385255350997367,"[('scaling_method', 'robust'), ('encoding_method', 'onehot'), ('n_estimators', 554), ('learning_rate', 0.019216029995944364), ('max_depth', 4), ('subsample', 0.964265952985796), ('colsample_bytree', 0.7566794921079569), ('min_child_weight', 4)]",robust,onehot,554,0.019216029995944364,4,0.964265952985796,0.7566794921079569,4
